"medium","diameter_mm"
"Low",3.9804700059381
"Low",4.6128778865365
"Low",3.64741655289966
"Low",3.98306846588256
"Low",4.07284163093935
"Low",5.10918538516932
"Low",4.96942369097984
"Low",4.13901322340205
"Low",3.89087958557999
"Low",3.91282725069901
"Low",3.85250477352979
"Low",4.75913264286019
"Low",4.37866179950903
"Low",3.25249276029636
"Low",3.69293580919744
"Low",3.95375406632152
"Low",4.36385604138028
"Low",4.47163440159817
"Low",3.8980906159216
"Low",3.32845077048162
"Low",3.24823049184608
"Low",3.69757267708406
"Low",4.29746509034788
"Low",5.1422885536468
"Low",3.69683532897459
"Low",4.42975973107652
"Low",5.59991442007237
"Low",4.57524697663023
"Medium",3.99254959530315
"Medium",4.01364256104011
"Medium",3.32059852138698
"Medium",3.53350968071014
"Medium",4.50103196139164
"Medium",5.70764875775213
"Medium",4.37021136367812
"Medium",4.78245813882092
"Medium",3.44414369367849
"Medium",3.76201830509591
"Medium",4.41458181693357
"Medium",4.34614763193689
"Medium",5.92466098442003
"Medium",3.25463004065707
"Medium",4.05885345583044
"Medium",3.07631663914719
"Medium",3.70886986113016
"Medium",3.67170853957582
"Medium",4.71067452491874
"Medium",4.15354584531759
"Medium",5.40328061562268
"Medium",3.71437882044523
"Medium",2.77574628886321
"Medium",3.38994655280717
"Medium",4.17050289386424
"Medium",2.7348492753697
"Medium",3.58075009737034
"Medium",5.50293310295841
"High",5.47347260518859
"High",4.03928638376323
"High",6.10130940531101
"High",3.86814341003998
"High",4.03765787884863
"High",4.32536144548788
"High",3.78453404220472
"High",4.34016168692601
"High",7.42994370494807
"High",6.73693042857279
"High",10.7336688760519
"High",3.23522371193641
"High",4.23863622432914
"High",5.99983113114776
"High",6.22067116430358
"High",3.45204024711944
"High",6.72644971818583
"High",5.78567856412293
"High",3.53174891231151
"High",6.30438789721085
"High",3.98265527817042
"High",4.081476690833
"High",3.31566394022831
"High",4.6841630145993
"High",3.26861787538846
"High",5.0754426104021
"High",4.33851912177615
"High",5.00616094053879
