"line","wing_mm"
"Line A",2.4658158961294
"Line A",2.52823113418399
"Line A",2.70352610924267
"Line A",2.70954325259251
"Line A",2.58877954006514
"Line A",2.65493457068255
"Line A",2.51879523930071
"Line A",2.58467986651075
"Line A",2.43046585155574
"Line A",2.53070810873543
"Line A",2.54166516743504
"Line A",2.62674897778242
"Line A",2.44751542630108
"Line A",2.58494600592034
"Line A",2.26742226830237
"Line A",2.47361798295974
"Line A",2.55256050218147
"Line A",2.61246180191179
"Line A",2.47913592979263
"Line A",2.68940629237079
"Line A",2.62061804301098
"Line A",2.6044544956966
"Line A",2.69679010709311
"Line A",2.55926135286521
"Line A",2.69653366298985
"Line A",2.77517572588341
"Line A",2.60384773776902
"Line A",2.72382388091105
"Line A",2.43398508722147
"Line A",2.51577330558845
"Line B",2.37930954096033
"Line B",2.68157944087341
"Line B",3.03903830220135
"Line B",2.47672424420345
"Line B",2.56738876636861
"Line B",2.68116161827109
"Line B",2.67453343841802
"Line B",2.69111590464849
"Line B",2.69319587451194
"Line B",2.32163938759593
"Line B",2.79999880565602
"Line B",2.41563818388432
"Line B",2.65271656820737
"Line B",2.62959944796995
"Line B",2.75875227629698
"Line B",2.62027498465214
"Line B",2.86591295144844
"Line B",2.52345838185645
"Line B",2.5764413102095
"Line B",2.60885719170614
"Line B",2.44856672300215
"Line B",2.34217435619983
"Line B",2.86957811263958
"Line B",2.8421177098028
"Line B",2.65906350198254
"Line B",2.51697130952572
"Line B",2.87699563452635
"Line B",2.47739668776292
"Line B",2.39303688428862
"Line B",2.79520738755082
