race,party,votes,sex,status
1,REP,"3,060,859",male,incumbent
,DEM,"2,897,477",male,challenger
,LIB,"35,804",male,challenger
2,REP,"3,279,187",male,incumbent
,DEM,"2,575,120",female,challenger
,LIB,"90,675",male,challenger
3,REP,"3,045,961",male,incumbent
,DEM,"2,795,482",male,challenger
,LIB,"114,854",male,challenger
4,REP,"3,012,265",male,incumbent
,DEM,"2,822,834",male,challenger
,LIB,"126,774",male,challenger
5,REP,"3,157,718",male,incumbent
,DEM,"2,587,450",female,challenger
,LIB,"174,233",male,challenger
6,REP,"3,188,206",male,incumbent
,DEM,"2,580,244",male,challenger
,LIB,"172,346",male,challenger
7,REP,"3,044,070",male,incumbent
,DEM,"2,761,280",female,challenger
,LIB,"120,009",male,challenger
8,REP,"3,154,772",female,incumbent
,DEM,"2,614,244",male,challenger
,LIB,"149,839",male,challenger
9,REP,"3,133,354",male,incumbent
,DEM,"2,773,637",male,challenger
10,REP,"3,159,585",male,incumbent
,DEM,"2,736,627",male,challenger
11,REP,"3,165,987",male,incumbent
,DEM,"2,735,747",female,challenger
12,REP,"3,092,558",female,incumbent
,DEM,"2,698,313",male,challenger
,LIB,"116,178",male,challenger
13,REP,"3,183,675",female,incumbent
,DEM,"2,704,262",male,challenger
14,REP,"3,426,456",female,challenger
,LIB,"1,174,379",male,challenger
