district,party,votes,sex,status
1,REP,"22,387",male,challenger
2,REP,"26,185",male,incumbent
2,DEM,"6,515",male,challenger
3,REP,"35,533",male,incumbent
3,DEM,"10,761",female,challenger
4,REP,"31,840",male,challenger
4,DEM,"10,235",male,challenger
0,IND,664,male,challenger
5,REP,"29,627",male,incumbent
5,DEM,"7,029",male,challenger
6,REP,"27,930",male,incumbent
6,IND,"8,670",male,challenger
7,REP,"27,734",male,incumbent
8,REP,"21,925",male,challenger
8,DEM,"5,990",male,challenger
9,REP,"27,847",male,incumbent
10,REP,"33,703",male,incumbent
10,DEM,"12,652",female,challenger
0,IND,876,male,challenger
11,REP,25188,male,incumbent
11,DEM,9021,male,challenger
12,REP,19923,male,incumbent
12,DEM,9834,female,challenger
13,REP,31402,male,challenger
13,DEM,7882,male,challenger
14,REP,17510,male,incumbent
14,DEM,13930,male,challenger
15,REP,38102,male,challenger
15,DEM,18857,female,challenger
16,REP,36086,male,incumbent
16,DEM,8071,male,challenger
17,REP,22687,male,incumbent
17,DEM,14071,female,challenger
18,REP,22906,male,incumbent
18,DEM,6742,male,challenger
19,REP,31871,male,incumbent
19,DEM,6481,female,challenger
20,REP,43493,male,incumbent
20,DEM,17575,male,challenger
21,REP,34867,male,incumbent
22,DEM,24228,male,incumbent
23,REP,25147,male,challenger
23,DEM,17584,female,challenger
0,LIB,819,male,challenger
24,REP,38681,male,incumbent
24,DEM,15216,male,challenger
0,LIB,926,male,challenger
25,REP,30239,male,incumbent
26,REP,27312,male,incumbent
26,DEM,24390,female,challenger
27,DEM,36351,male,incumbent
28,REP,35126,male,incumbent
28,DEM,29116,female,challenger
29,REP,37484,male,incumbent
30,REP,26527,female,incumbent
30,DEM,8474,female,challenger
31,DEM,15393,male,incumbent
32,REP,28080,male,incumbent
33,REP,40646,male,incumbent
33,DEM,21926,female,challenger
34,REP,11536,male,challenger
34,DEM,17124,male,incumbent
35,DEM,16293,male,incumbent
36,DEM,18934,male,incumbent
37,DEM,12955,male,challenger
38,DEM,15447,male,incumbent
39,DEM,18736,male,incumbent
40,DEM,17478,male,incumbent
41,REP,12068,female,challenger
41,DEM,18703,male,incumbent
42,REP,5985,male,challenger
42,DEM,16902,male,incumbent
43,REP,16501,male,incumbent
43,DEM,9627,female,challenger
44,REP,34048,male,incumbent
44,DEM,15593,male,challenger
45,REP,31602,male,challenger
45,DEM,34104,female,challenger
46,REP,6049,female,challenger
46,DEM,36268,female,challenger
0,LIB,1039,male,challenger
47,REP,36999,male,incumbent
47,DEM,44308,female,challenger
48,DEM,54442,female,incumbent
49,REP,11117,male,challenger
49,DEM,62546,female,incumbent
50,DEM,39708,male,incumbent
51,DEM,37272,male,incumbent
52,REP,25887,female,challenger
52,DEM,28560,male,challenger
53,REP,39977,male,incumbent
53,DEM,10008,female,challenger
54,REP,17810,male,challenger
54,DEM,15043,female,challenger
55,REP,22977,male,incumbent
56,REP,26648,male,incumbent
56,DEM,13952,female,challenger
57,REP,26777,male,incumbent
57,DEM,6624,male,challenger
58,REP,35182,male,incumbent
59,REP,26122,male,incumbent
60,REP,36524,male,incumbent
61,REP,48707,male,incumbent
62,REP,27954,male,challenger
62,LIB,567,male,challenger
63,REP,41634,male,incumbent
63,DEM,20441,female,challenger
64,REP,28722,male,incumbent
64,DEM,23231,male,challenger
0,LIB,1195,male,challenger
65,REP,22735,male,incumbent
65,DEM,22941,female,challenger
66,REP,28909,male,incumbent
66,DEM,27999,female,challenger
67,REP,30628,male,incumbent
67,DEM,28994,female,challenger
68,REP,27193,male,incumbent
69,REP,23703,male,incumbent
70,REP,42324,male,incumbent
70,DEM,26057,female,challenger
71,REP,25732,male,incumbent
71,DEM,7169,male,challenger
72,REP,28220,male,incumbent
73,REP,53674,male,incumbent
73,DEM,18072,female,challenger
74,DEM,17219,male,incumbent
75,DEM,19303,female,incumbent
76,DEM,18985,male,incumbent
77,DEM,18354,female,incumbent
78,REP,11838,male,challenger
78,DEM,22530,male,incumbent
79,DEM,23125,male,incumbent
80,DEM,17070,male,incumbent
81,REP,20100,male,incumbent
81,DEM,5844,male,challenger
82,REP,28486,male,incumbent
82,DEM,6331,male,challenger
83,REP,34429,male,incumbent
83,DEM,9625,male,challenger
84,REP,21827,male,incumbent
84,DEM,13470,female,challenger
85,REP,22867,male,incumbent
85,DEM,16904,female,challenger
86,REP,34151,male,incumbent
86,DEM,7008,male,challenger
87,REP,20072,male,incumbent
88,REP,19417,male,incumbent
88,DEM,3198,male,challenger
89,REP,36160,female,challenger
