"pot","nitrogen_mg","biomass_g"
1,9.54561813455075,5.99222564791988
2,2.35906611476094,4.64012466744188
3,7.31420148164034,6.1187426715042
4,2.36318408232182,3.58543334210748
5,0.470603071153164,2.45911362156326
6,6.78691659495234,3.98728292033693
7,10.9512129742652,8.70136458362713
8,3.74544957652688,4.63534500883213
9,1.3024094318971,2.48381679933364
10,6.36049116309732,4.57878239105056
11,5.08459677547216,3.94552673600945
12,10.838142673485,5.83963355286013
13,1.53507292550057,1.83300372521432
14,4.30516188684851,4.7934219822096
15,6.88521496765316,4.66970587130366
16,1.04636420868337,2.81157042558543
17,9.49721155129373,5.11560457634351
18,4.07649922091514,4.43786613582675
19,9.92482878640294,6.09926303250226
20,8.77899811975658,5.69197007094152
21,5.90906616300344,4.99724073551457
22,8.05994755402207,5.34041362672578
23,6.56147542688996,4.35500063303705
24,3.09458243753761,3.44474440495818
25,3.16722177062184,2.94825580778675
26,11.4349854933098,8.22331772567077
27,10.5285638049245,6.93475071136793
28,7.73689560312778,6.00101082652334
29,2.5925845708698,3.77715666014718
30,7.42954859789461,4.41041510023939
31,2.08633592538536,2.66905819558866
32,7.20705345924944,3.35163203950396
33,8.48715640045702,6.19177272510488
34,7.15595418680459,4.24353319831291
35,5.12466772925109,5.20576248959109
36,11.318097833544,6.87250813591794
