Order,Family,Genus,species,Sexual System,Karyotype,notes: Karyotype,Genotypic,Haplodiploidy,Chromosome number (female) 2N,Chromosome number (male) 2N
Blattodea,Blaberidae,Archimandrita,tessellata,,XO,,male heterogametic,,46,45
Blattodea,Blaberidae,Blaberus,atropos,,XO,,male heterogametic,,74,73
Blattodea,Blaberidae,Blaberus,cranifer,,XO,,male heterogametic,,74,73
Blattodea,Blaberidae,Blaberus,discoidalis,,XO,,male heterogametic,,38,37
Blattodea,Blaberidae,Blaberus,giganteus,,XO,,male heterogametic,,74,73
Blattodea,Blaberidae,Blaberus,parabolicus,,XO,,male heterogametic,,40,39
Blattodea,Blaberidae,Byrsotria,fumigata,,XO,,male heterogametic,,48,47
Blattodea,Blaberidae,Capucina,patula,,XO,,male heterogametic,,38,37
Blattodea,Blaberidae,Diploptera,punctata,,XO,,male heterogametic,,48,47
Blattodea,Blaberidae,Epilampra,abdomennigrum,,XO,,male heterogametic,,42,41
Blattodea,Blaberidae,Epilampra,grisea,,XO,,male heterogametic,,50,49
Blattodea,Blaberidae,Epilampra,maculicollis,,XO,,male heterogametic,,38,37
Blattodea,Blaberidae,Epilampra,maya,,XO,,male heterogametic,,36,35
Blattodea,Blaberidae,Epilampra,sagitta,,XO,,male heterogametic,,44,43
Blattodea,Blaberidae,Epilampra,sp.81B,,XO,,male heterogametic,,40,39
Blattodea,Blaberidae,Eublaberus,distanti,,XO,,male heterogametic,,66,65
Blattodea,Blaberidae,Eublaberus,posticus,,XO,,male heterogametic,,44,43
Blattodea,Blaberidae,Galiblatta,williamsi,,XO,,male heterogametic,,28,27
Blattodea,Blaberidae,Gromphadorhina,brunneri,,XO,,male heterogametic,,64,63
Blattodea,Blaberidae,Gromphadorhina,chopardi,,XO,,male heterogametic,,76,75
Blattodea,Blaberidae,Gromphadorhina,portentosa,,XO,,male heterogametic,,64,63
Blattodea,Blaberidae,Hormetica,scrobiculata,,XO,,male heterogametic,,32,31
Blattodea,Blaberidae,Hormetica,ventralis,,XO,,male heterogametic,,32,31
Blattodea,Blaberidae,Hyporhicnoda,litomorpha,,XO,,male heterogametic,,44,43
Blattodea,Blaberidae,Lanxoblatta,emarginata,,XO,,male heterogametic,,66,65
Blattodea,Blaberidae,Leucophaea,maderae,,XO,,male heterogametic,,24,23
Blattodea,Blaberidae,Macropanesthia,rhinoceros,,XO,,male heterogametic,,80,79
Blattodea,Blaberidae,Nauphoeta,cinerea,,XO,,male heterogametic,,38,37
Blattodea,Blaberidae,Panchlora,nivea,,XO,,male heterogametic,,36,35
Blattodea,Blaberidae,Panchlora,sp.,,XO,,male heterogametic,,32,31
Blattodea,Blaberidae,Panchlora,viridis,,XO,,male heterogametic,,38,37
Blattodea,Blaberidae,Panesthia,sp.,,XO,,male heterogametic,,38,37
Blattodea,Blaberidae,Panesthia,stellata,,XO,,male heterogametic,,38,37
Blattodea,Blaberidae,Petasodes,dominicana,,XO,,male heterogametic,,54,53
