"colony","biomass_mg"
1,5.62201495443718
2,12.4819548811077
3,11.1032813991177
4,10.5493765124805
5,6.30828473813244
6,16.3401654270646
7,8.90554540849578
8,25.5757830843099
9,13.3219405409063
10,4.08250393702808
11,14.3769355231335
12,11.4912574715438
13,10.7816283148925
14,7.73670077396463
15,5.13753120934518
16,5.50693171864208
17,12.627030705407
18,14.7870662137116
19,7.52501197580445
20,19.1978613183857
21,15.8672780285335
22,18.0482029107497
23,7.47189678231396
24,6.69286031864847
25,6.3187559218189
26,20.6414012135986
27,10.4537187710446
28,13.4137282091698
29,11.844440456081
30,7.14158322842129
31,11.357400483685
32,10.7545863326761
33,11.3184104468534
34,16.029929270142
35,7.97255611144766
36,18.8722196781929
37,13.0498529257722
38,8.32490245556121
39,8.20784926689422
40,14.291120012521
