"beetle","body_mm","nutrition_mg","horn_mm"
1,9.02821977436543,3.09207137487829,2.49057035137996
2,11.0083169168793,8.33163026347756,6.74357274274548
3,10.5993990674615,3.7476684320718,4.57263497441412
4,10.5076748183928,9.84045981802046,5.36436749727661
5,7.96044226549566,6.83275267481804,4.62986831024042
6,7.81009296467528,2.07045857980847,3.58294100359786
7,7.41834290837869,3.19039421714842,2.61630534170183
8,9.02538015902974,4.4203156195581,3.48519392649716
9,8.92562933661975,7.43920998461545,5.73225320556129
10,10.761706071673,8.59079537726939,4.32934122213616
11,10.9229689375497,6.89043636061251,4.02351096189734
12,9.65663059079088,8.53627195209265,5.32390430137801
13,7.8323939901311,6.41280773840845,4.12069339949035
14,10.2323117018677,5.75870266370475,4.85476931539783
15,11.889820049284,4.03361514396966,4.94554137323202
16,7.7081621256657,7.54604050330818,5.06481197389288
17,8.2814605771564,4.41561368480325,3.65476735188374
18,7.75649035279639,3.64810100384057,2.81263116605741
19,10.9202511182521,2.41344739310443,4.37501513619601
20,11.4636815157719,2.41125841252506,4.60971800252525
21,11.8396514204796,9.13373118266463,7.18651689768626
22,10.3329832658637,7.61122962273657,5.34936794925011
23,11.9950893037021,7.45202794484794,5.42226745566659
24,10.4698575711809,9.22823062166572,5.62756754470346
25,9.88044181535952,7.87096561864018,5.22042390044644
26,10.8014193600975,2.56577747315168,4.04112861294911
27,10.6348900024313,3.32453368604183,4.62208626437626
28,7.8149306604173,3.19432260841131,4.62050186527394
29,9.99647329025902,2.56380704976618,5.01146781825955
30,11.2251814261544,5.51075083017349,6.16957285066069
31,9.45700146304443,6.89753059484065,3.86141915681329
32,8.77921521128155,5.4987471383065,5.11216333613455
33,11.8346351261716,3.97123950719833,4.54431137959641
34,11.3753364193253,7.14308803342283,5.4441021808067
35,9.44426220655441,5.972491690889,4.77766010742792
36,10.4400957298931,2.79036857187748,4.34403668354965
37,8.31096642115153,4.19359080679715,5.33499296831086
38,9.19086124678142,2.67749244347215,3.85394731853176
39,10.303258693777,9.52727061323822,5.64344825709503
40,7.70846779737622,2.90275236591697,4.55775665863252
41,10.8991499238182,8.87287348695099,6.27189646902429
42,11.2904390580952,2.73961669579148,4.45163007790072
43,10.587587964721,7.53494122251868,4.34322843641856
44,8.08473071362823,9.76542454585433,4.44098125718542
45,7.75844275765121,2.87403178401291,3.1623893888772
46,8.58099169959314,5.07824826799333,4.02078057570186
47,11.4111682206858,2.91604775190353,4.28320422318354
48,9.29282405343838,4.95969818718731,4.18082511415917
49,9.76190947857685,3.77150069735944,5.91010033238428
50,7.86209967150353,9.48474580422044,4.10927493928474
51,11.2614318709821,3.98666301369667,4.97309459502171
52,8.89330746303312,9.24334236048162,4.82738028376189
53,8.35055083781481,2.48899419233203,3.08199681129018
54,10.2452670845669,9.11917967349291,3.89846473422287
55,9.93281089514494,6.49639499932528,3.86590400374563
56,7.59829619247466,9.85346437618136,4.78571683075977
57,8.57411568565294,8.81703701987863,5.96119920874924
58,9.59081882773899,4.61771452240646,4.60099280970274
59,9.13939450215548,4.22277302481234,3.80068049370768
60,9.30600440409034,7.07345892675221,4.54817105051108
