"visit","fish","treatment","score"
1,1,"Control","Mild"
2,1,"Control","Mild"
3,1,"Control","High"
1,2,"Control","None"
2,2,"Control","High"
3,2,"Control","Moderate"
1,3,"Control","Mild"
2,3,"Control","None"
3,3,"Control","High"
1,4,"Control","Moderate"
2,4,"Control","Moderate"
3,4,"Control","None"
1,5,"Control","Mild"
2,5,"Control","None"
3,5,"Control","Mild"
1,6,"Control","Mild"
2,6,"Control","Mild"
3,6,"Control","Mild"
1,7,"Control","None"
2,7,"Control","Mild"
3,7,"Control","High"
1,8,"Control","Moderate"
2,8,"Control","High"
3,8,"Control","Moderate"
1,9,"Control","Mild"
2,9,"Control","None"
3,9,"Control","None"
1,10,"Control","Mild"
2,10,"Control","High"
3,10,"Control","High"
1,11,"Control","Mild"
2,11,"Control","Mild"
3,11,"Control","None"
1,12,"Control","Mild"
2,12,"Control","Moderate"
3,12,"Control","Mild"
1,13,"Control","Moderate"
2,13,"Control","High"
3,13,"Control","None"
1,14,"Control","High"
2,14,"Control","Mild"
3,14,"Control","High"
1,15,"Control","None"
2,15,"Control","Moderate"
3,15,"Control","Mild"
1,16,"Control","High"
2,16,"Control","High"
3,16,"Control","High"
1,17,"Control","None"
2,17,"Control","None"
3,17,"Control","High"
1,18,"Control","None"
2,18,"Control","None"
3,18,"Control","Mild"
1,19,"Control","Moderate"
2,19,"Control","None"
3,19,"Control","Moderate"
1,20,"Control","None"
2,20,"Control","High"
3,20,"Control","High"
1,21,"Control","None"
2,21,"Control","High"
3,21,"Control","Mild"
1,22,"Control","High"
2,22,"Control","Mild"
3,22,"Control","None"
1,23,"Control","None"
2,23,"Control","None"
3,23,"Control","None"
1,24,"Control","None"
2,24,"Control","Moderate"
3,24,"Control","Moderate"
1,25,"Control","None"
2,25,"Control","Mild"
3,25,"Control","None"
1,26,"Control","Moderate"
2,26,"Control","Mild"
3,26,"Control","High"
1,27,"Control","Mild"
2,27,"Control","Moderate"
3,27,"Control","Moderate"
1,28,"Control","High"
2,28,"Control","High"
3,28,"Control","High"
1,29,"Control","Mild"
2,29,"Control","High"
3,29,"Control","Moderate"
1,30,"Control","None"
2,30,"Control","None"
3,30,"Control","Moderate"
1,31,"Control","Moderate"
2,31,"Control","Mild"
3,31,"Control","Moderate"
1,32,"Control","Moderate"
2,32,"Control","High"
3,32,"Control","None"
1,33,"Control","High"
2,33,"Control","High"
3,33,"Control","None"
1,34,"Control","None"
2,34,"Control","Mild"
3,34,"Control","Mild"
1,35,"Control","High"
2,35,"Control","Moderate"
3,35,"Control","High"
1,36,"Stress","Mild"
2,36,"Stress","None"
3,36,"Stress","High"
1,37,"Stress","High"
2,37,"Stress","Moderate"
3,37,"Stress","Moderate"
1,38,"Stress","High"
2,38,"Stress","High"
3,38,"Stress","High"
1,39,"Stress","High"
2,39,"Stress","None"
3,39,"Stress","Moderate"
1,40,"Stress","High"
2,40,"Stress","Moderate"
3,40,"Stress","Moderate"
1,41,"Stress","High"
2,41,"Stress","High"
3,41,"Stress","Moderate"
1,42,"Stress","None"
2,42,"Stress","Moderate"
3,42,"Stress","None"
1,43,"Stress","High"
2,43,"Stress","High"
3,43,"Stress","High"
1,44,"Stress","Mild"
2,44,"Stress","Mild"
3,44,"Stress","High"
1,45,"Stress","High"
2,45,"Stress","High"
3,45,"Stress","High"
1,46,"Stress","High"
2,46,"Stress","High"
3,46,"Stress","Mild"
1,47,"Stress","None"
2,47,"Stress","None"
3,47,"Stress","Moderate"
1,48,"Stress","Mild"
2,48,"Stress","Mild"
3,48,"Stress","Mild"
1,49,"Stress","High"
2,49,"Stress","Moderate"
3,49,"Stress","Moderate"
1,50,"Stress","High"
2,50,"Stress","High"
3,50,"Stress","High"
1,51,"Stress","Mild"
2,51,"Stress","Mild"
3,51,"Stress","High"
1,52,"Stress","High"
2,52,"Stress","High"
3,52,"Stress","High"
1,53,"Stress","High"
2,53,"Stress","Mild"
3,53,"Stress","High"
1,54,"Stress","Moderate"
2,54,"Stress","High"
3,54,"Stress","Moderate"
1,55,"Stress","None"
2,55,"Stress","None"
3,55,"Stress","None"
1,56,"Stress","High"
2,56,"Stress","High"
3,56,"Stress","Mild"
1,57,"Stress","Mild"
2,57,"Stress","None"
3,57,"Stress","Mild"
1,58,"Stress","Moderate"
2,58,"Stress","Moderate"
3,58,"Stress","High"
1,59,"Stress","High"
2,59,"Stress","Mild"
3,59,"Stress","High"
1,60,"Stress","Mild"
2,60,"Stress","Mild"
3,60,"Stress","High"
1,61,"Stress","None"
2,61,"Stress","Moderate"
3,61,"Stress","Mild"
1,62,"Stress","Mild"
2,62,"Stress","Mild"
3,62,"Stress","High"
1,63,"Stress","Mild"
2,63,"Stress","Mild"
3,63,"Stress","High"
1,64,"Stress","Moderate"
2,64,"Stress","High"
3,64,"Stress","Moderate"
1,65,"Stress","High"
2,65,"Stress","None"
3,65,"Stress","High"
1,66,"Stress","High"
2,66,"Stress","High"
3,66,"Stress","High"
1,67,"Stress","High"
2,67,"Stress","None"
3,67,"Stress","Mild"
1,68,"Stress","High"
2,68,"Stress","Mild"
3,68,"Stress","High"
1,69,"Stress","Mild"
2,69,"Stress","High"
3,69,"Stress","High"
1,70,"Stress","High"
2,70,"Stress","Mild"
3,70,"Stress","Moderate"
