"module","seed","rows","status"
"one_sample_t",1101,24,"passed"
"paired_t",1103,20,"passed"
"sign_test",1104,30,"passed"
"signed_rank",1105,28,"passed"
"permutation_paired",240504,28,"passed"
"welch_t",1102,56,"passed"
"pooled_t",1118,56,"passed"
"rank_sum",1106,64,"passed"
"permutation_independent",240503,50,"passed"
"shapiro",1111,36,"passed"
"f_variance",1109,60,"passed"
"levene",1110,84,"passed"
"one_way_anova",1117,75,"passed"
"welch_anova",1119,78,"passed"
"kruskal_wallis",1107,72,"passed"
"dunn",2105,84,"passed"
"tukey",2104,80,"passed"
"fisher_lsd",2104,80,"passed"
"scheffe",2104,80,"passed"
"factorial_anova",2101,88,"passed"
"ancova",2102,90,"passed"
"repeated_anova",2103,96,"passed"
"friedman",1108,54,"passed"
"pearson",1112,45,"passed"
"spearman",1113,45,"passed"
"simple_lm",1114,36,"passed"
"theil_sen",1116,40,"passed"
"multiple_lm",1115,60,"passed"
"binomial",3101,80,"passed"
"one_proportion",3102,120,"passed"
"two_proportions",3103,220,"passed"
"chi_gof",3104,240,"passed"
"chi_independence",3105,270,"passed"
"fisher_exact",3106,24,"passed"
"mcnemar",3107,80,"passed"
"cochran_q",3108,180,"passed"
"logistic",3110,160,"passed"
"multinomial",3114,240,"passed"
"ordinal_logistic",3115,180,"passed"
"poisson_exact",3109,60,"passed"
"poisson_glm",3111,120,"passed"
"quasipoisson",3113,120,"passed"
"negbin_glm",3112,130,"passed"
"linear_mixed",2106,144,"passed"
"binary_glmm",2107,288,"passed"
"binary_gee",3116,320,"passed"
"count_gee",1401,360,"passed"
"count_glmm",2114,192,"passed"
"ordinal_mixed",2109,210,"passed"
"kaplan_meier",2110,120,"passed"
"log_rank",2111,150,"passed"
"stratified_logrank",240501,120,"passed"
"cox_ph",2112,180,"passed"
"parametric_survival",2113,140,"passed"
"shared_frailty",240502,240,"passed"
"bonferroni",240508,960,"passed"
"fdr",240509,960,"passed"
"monte_carlo",240505,80,"passed"
"bootstrap",240507,40,"passed"
"sampling_coverage",240506,25000,"passed"
"pca",240510,75,"passed"
"mds",240511,75,"passed"
"lda",240512,75,"passed"
