"id","method","family","scenario","n_rows","seed","design","scientific_question","null_or_target","generating_model","generating_truth","columns","observed_summary","report","full_output","teaching_point","data_csv","analysis_script","plot","csv_md5","results_md5"
"one_sample_t","One-sample t test","Means","Cell biologists measure oxygen consumption in independently cultured cell lines.",24,"1101","One measurement from each of 24 independent cultures; compare with a prespecified reference of 10 nmol/min.","Is mean oxygen consumption different from 10 nmol/min?","The population mean is 10 nmol/min.","24 independent oxygen-consumption values are drawn from Normal(mean 10.8, SD 1.5). Each row is one culture.","The population mean is 10.8 nmol/min, so the reference-mean null of 10 is false; the true mean difference is +0.8.","culture: Independent culture identifier: [none]; oxygen: Oxygen consumption: [nmol/min]","Mean = 10.75 nmol/min; n = 24 | 95% CI for mean: 10.12 to 11.37 | t = 2.48; df = 23; p = 0.02107","Mean oxygen consumption was 10.75 nmol/min (95% CI 10.12 to 11.37); against the reference mean of 10, t(23) = 2.48, p = 0.02107. This tests a population mean, not whether every culture exceeds 10.","
	One Sample t-test

data:  d$oxygen
t = 2.4762, df = 23, p-value = 0.02107
alternative hypothesis: true mean is not equal to 10
95 percent confidence interval:
 10.12316 11.37336
sample estimates:
mean of x 
 10.74826 
","The reference must express the biological question; the test is about a population mean.","modules/one_sample_t/generated/data.csv","modules/one_sample_t/analysis.R","modules/one_sample_t/generated/plot.png","996576d9164214273ff60ab4e94bb549","918d8203cc6e915a2ae6212d7efd71be"
"pooled_t","Pooled two-sample t test","Means","Evolutionary biologists compare adult beetle body length from two rearing environments.",56,"1118","Independent beetles in two rearing environments; a common population variance is a substantive model assumption.","Do mean body lengths differ between cool and warm environments?","The two population means are equal.","26 independent Cool beetles are Normal(10, 0.65 SD), and 30 independent Warm beetles are Normal(10.7, 0.65 SD).","The true Cool minus Warm mean difference is -0.7 mm, and the two population variances are both 0.4225 mm squared.","environment: Independent rearing group: [category]; length_mm: Adult beetle body length: [mm]","Cool - Warm mean difference = -1.02 mm | 95% CI: -1.44 to -0.61 mm | Pooled t = -4.94; df = 54.00; p = 7.927e-06","Mean body length differed by -1.02 mm (Cool minus Warm; 95% CI -1.44 to -0.61). Pooled t = -4.94, df = 54.00, p = 7.927e-06. This analysis assumes equal population variances. Welch tests the same null without that assumption.","
	Two Sample t-test

data:  length_mm by environment
t = -4.9399, df = 54, p-value = 7.927e-06
alternative hypothesis: true difference in means between group Cool and group Warm is not equal to 0
95 percent confidence interval:
 -1.4367878 -0.6072203
sample estimates:
mean in group Cool mean in group Warm 
          9.833382          10.855386 
","Pooled and Welch t tests share the mean-difference null; their variance assumptions differ.","modules/pooled_t/generated/data.csv","modules/pooled_t/analysis.R","modules/pooled_t/generated/plot.png","85eef39b719ac70025895c33ed02ecef","c451bd93a891a43c5697468884198597"
"welch_t","Welch two-sample t test","Means","Evolutionary biologists compare adult beetle body length from two rearing environments.",56,"1102","Independent beetles assigned to cool or warm rearing; each beetle measured once.","Do mean body lengths differ between cool and warm environments?","The two population means are equal.","26 independent Cool lengths come from Normal(10, 0.65 SD), and 30 independent Warm lengths from Normal(10.7, 1.15 SD).","The true Cool minus Warm mean difference is -0.7 mm. Variances differ (0.4225 versus 1.3225 mm squared).","environment: Independent rearing group: [category]; length_mm: Adult beetle body length: [mm]","Cool - Warm mean difference = -1.01 mm | 95% CI: -1.49 to -0.53 mm | Welch t = -4.21; df = 53.33; p = 9.973e-05","Mean body length differed by -1.01 mm (Cool minus Warm; 95% CI -1.49 to -0.53). Welch's t = -4.21, df = 53.33, p = 9.973e-05. Group ordering determines the sign; unequal group variances do not require switching to ranks.","
	Welch Two Sample t-test

data:  length_mm by environment
t = -4.2066, df = 53.33, p-value = 9.973e-05
alternative hypothesis: true difference in means between group Cool and group Warm is not equal to 0
95 percent confidence interval:
 -1.4937879 -0.5292964
sample estimates:
mean in group Cool mean in group Warm 
          9.763781          10.775323 
","Welch answers the equal-means question while allowing unequal group variances.","modules/welch_t/generated/data.csv","modules/welch_t/analysis.R","modules/welch_t/generated/plot.png","529551949f25ea621cdc6e72e801ba10","638f167d9cc05cccdfdf2a583ff5a96c"
"paired_t","Paired t test","Means","Plant physiologists measure photosynthesis in the same leaves before and after heat stress.",20,"1103","Twenty independent plants contribute one before/after pair each.","Is the mean within-plant change in photosynthesis zero?","The population mean of after minus before differences is zero.","20 independent baseline values come from Normal(18, 2.2 SD). Each after value is its own baseline plus an independent Normal(-1.3, 1.7 SD) change.","The mean after-minus-before difference is -1.3 photosynthesis units, even if this sample provides limited evidence against zero.","plant: Independent plant and pair identifier: [none]; before: Photosynthesis before heat: [micromol CO2 / m2 / s]; after: Photosynthesis after heat: [micromol CO2 / m2 / s]","Mean change (after - before) = -0.73 | 95% CI for mean change: -1.52 to 0.07 | Paired t = -1.91; df = 19; p = 0.07128","Photosynthesis changed by a mean of -0.73 units after heat stress (95% CI -1.52 to 0.07); paired t(19) = -1.91, p = 0.07128. Pairing makes the biological unit the plant and the analyzed response its change.","
	Paired t-test

data:  d$after and d$before
t = -1.9105, df = 19, p-value = 0.07128
alternative hypothesis: true mean difference is not equal to 0
95 percent confidence interval:
 -1.52238792  0.06942308
sample estimates:
mean difference 
     -0.7264824 
","A large p-value does not make the simulated nonzero effect disappear; paired differences define the target.","modules/paired_t/generated/data.csv","modules/paired_t/analysis.R","modules/paired_t/generated/plot.png","750dadb4dc331c0b913c39af3f7c025b","27a0adfd198e6919e8502814cf9240aa"
"f_variance","F test of two variances","Variance and diagnostics","Evolutionary developmental biologists compare variation in wing length between two inbred fly lines.",60,"1109","Thirty independent flies per line are reared under a common environment.","Is wing-length variance the same in the two fly lines?","The population variance ratio (Line A / Line B) is 1.","30 wing lengths per independent fly line come from normal distributions with shared mean 2.6 mm, SD 0.11 for Line A and SD 0.21 for Line B.","Population means are equal, but the true variance ratio A/B is 0.11 squared / 0.21 squared, approximately 0.274.","line: Fly line: [category]; wing_mm: Wing length of one independent fly: [mm]","Variance ratio (A / B) = 0.376 | 95% CI for variance ratio: 0.179 to 0.791 | F = 0.376; df = 29, 29; p = 0.01048","Wing-length variance in Line A was 0.376 times that in Line B (95% CI 0.179 to 0.791); F(29, 29) = 0.376, p = 0.01048. The target is variability, and this exact F reference relies strongly on normal populations.","
	F test to compare two variances

data:  wing_mm by line
F = 0.37637, num df = 29, denom df = 29, p-value = 0.01048
alternative hypothesis: true ratio of variances is not equal to 1
95 percent confidence interval:
 0.1791387 0.7907512
sample estimates:
ratio of variances 
         0.3763697 
","A variance question can have a different answer from a mean question; the exact F test depends strongly on normality.","modules/f_variance/generated/data.csv","modules/f_variance/analysis.R","modules/f_variance/generated/plot.png","e373e8f1c99013bca1566d9791af2668","c6937c6c982bac7e23a08cfa50d83ad7"
"levene","Levene and Brown–Forsythe tests","Variance and diagnostics","Microbiologists compare the variability of colony diameters across three nutrient media.",84,"1110","Independent colonies are grown in separately inoculated culture wells; one colony measured per well.","Do population variances differ among nutrient media?","The groups have equal variances; the test compares absolute deviations from their group centers.","28 independently cultured colonies per medium have log-normal diameters. All have meanlog log(4); log-scale SD is 0.12, 0.20, or 0.35 for Low, Medium, and High medium.","Group geometric means are 4 mm, but variances differ. Arithmetic means also vary slightly because log-normal means depend on log-scale spread.","medium: Nutrient medium: [category]; diameter_mm: Diameter of a colony from one independent well: [mm]","Brown–Forsythe F = 5.55; df = 2, 81; p = 0.005524 | Original Levene F = 9.72; p = 0.0001645 | Observed group SDs: Low 0.59; Medium 0.84; High 1.64","The median-centered Brown–Forsythe comparison gave F(2, 81) = 5.55, p = 0.005524. Inspect the distributions as well as the p-value: the procedure compares absolute deviations, which can reflect both spread and shape.","Levene's Test for Homogeneity of Variance (center = median)
      Df F value   Pr(>F)   
group  2  5.5471 0.005524 **
      81                    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
Levene's Test for Homogeneity of Variance (center = mean)
      Df F value    Pr(>F)    
group  2  9.7209 0.0001645 ***
      81                      
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1","Median-centered Brown–Forsythe reduces sensitivity to long tails; it is not a required gate before Welch mean comparisons.","modules/levene/generated/data.csv","modules/levene/analysis.R","modules/levene/generated/plot.png","565d750feae3399a3bb7e124d3fab628","03787ab239fe26f0cd1d2a76ff79b861"
"shapiro","Shapiro–Wilk and graphical checks","Variance and diagnostics","Cell biologists examine the distribution of time to lysis among independent cultured cells.",36,"1111","One lysis time for each independently treated culture; use a diagnostic to investigate shape.","Is a normal model a reasonable working description of these lysis times?","The independent observations come from a normal distribution.","36 independent lysis times follow a log-normal distribution with meanlog log(45) and log-scale SD 0.5.","The population is log-normal and positively skewed, not normal. The population geometric mean is 45 minutes.","culture: Independent culture identifier: [none]; lysis_minutes: Time until lysis: [minutes]","Shapiro–Wilk W = 0.937; p = 0.04064; n = 36 | Curvature in the Q–Q plot indicates a shape mismatch. | A nonsignificant result would not establish normality.","For the 36 lysis times, Shapiro–Wilk W = 0.937, p = 0.04064. Use the Q–Q plot to understand the mismatch; this diagnostic alone does not choose the scientific test or show that a mean comparison is invalid.","
	Shapiro-Wilk normality test

data:  d$lysis_minutes
W = 0.93687, p-value = 0.04064
","A diagnostic explains how a working model misses the data; its p-value should not automatically select the scientific analysis.","modules/shapiro/generated/data.csv","modules/shapiro/analysis.R","modules/shapiro/generated/plot.png","22cbbaf88c8cb29d2532fdd622b67c3d","02ea1bc8f8ee737c5325332fa8b0a1fd"
"sign_test","Sign test","Nonparametric alternatives","Behavioral biologists record the change in refuge-use time after a predator cue.",30,"1104","Each independent fish is measured twice; the changes are skewed.","Is an increase just as likely as a decrease in refuge-use time?","Among nonzero changes, positive and negative changes are equally likely; for continuous differences, the median is zero.","30 independent changes are Gamma(shape 1.4, scale 5) minus 3 seconds, rounded to 0.1 seconds. Exact zeros, if present, are excluded from the sign comparison.","Positive changes are more likely than negative changes. The unrounded mean is 4 seconds, but the sign test is about direction rather than that mean.","fish: Independent fish and pair identifier: [none]; change_seconds: After-minus-before refuge-use time: [seconds]","Positive changes: 18 of 30 nonzero differences | Zero changes excluded: 0 | Median observed change = 1.25 seconds | 95% CI for positive-change probability: 0.41 to 0.77 | Exact two-sided p = 0.3616","18 of 30 nonzero changes were positive (exact sign-test p = 0.3616; 95% CI for the positive-change probability 0.41 to 0.77). The test asks about direction, not mean change; 0 exact zero differences were excluded.","
	Exact binomial test

data:  positive and length(nonzero)
number of successes = 18, number of trials = 30, p-value = 0.3616
alternative hypothesis: true probability of success is not equal to 0.5
95 percent confidence interval:
 0.4060349 0.7734424
sample estimates:
probability of success 
                   0.6 
","A sign test handles asymmetric differences by asking about the probability of a positive change.","modules/sign_test/generated/data.csv","modules/sign_test/analysis.R","modules/sign_test/generated/plot.png","c2e937e5f91f5ced2f05a588ef68ab45","5496acd1aca59a6333f1fbbbb6f32a46"
"signed_rank","Wilcoxon signed-rank test","Nonparametric alternatives","Microbiologists compare log bacterial density before and after a treatment in matched cultures.",28,"1105","Each independent culture contributes one difference; occasional large differences make ranks useful.","Is the distribution of within-culture changes centered at zero?","The difference distribution is symmetric about zero.","28 baselines come from Normal(6, 0.4 SD). Paired changes equal 0.28 + 0.28 times a Student t variable with 4 degrees of freedom; after equals before plus change.","The symmetric difference distribution is centered at +0.28 log10 units; its zero-center null is false.","culture: Independent culture and pair identifier: [none]; before: Log10 bacterial density before treatment: [log10 CFU/mL]; after: Log10 bacterial density after treatment: [log10 CFU/mL]","Pseudomedian change estimate = 0.249 | 95% CI: 0.094 to 0.341 | V = 328.0; p = 0.004582","The estimated pseudomedian log10 density change was 0.249 (95% CI 0.094 to 0.341); signed-rank V = 328.0, p = 0.004582. Under a symmetric location-shift model this describes the common center of the differences; the procedure does not generally test a mean.","
	Wilcoxon signed rank test with continuity correction

data:  d$after and d$before
V = 328, p-value = 0.004582
alternative hypothesis: true location shift is not equal to 0
95 percent confidence interval:
 0.09375924 0.34088634
sample estimates:
(pseudo)median 
     0.2486103 
","Signed-rank is useful for symmetric heavy-tailed differences; sign is the simpler alternative when symmetry is doubtful.","modules/signed_rank/generated/data.csv","modules/signed_rank/analysis.R","modules/signed_rank/generated/plot.png","f57bfa50bd76947e2a8f072070c5dd13","b58770c2451dc8dd695dbd5c989f6242"
"rank_sum","Wilcoxon rank-sum test","Nonparametric alternatives","Ecologists compare parasite burdens among fish from two independent lakes.",64,"1106","Each fish is sampled once; counts are strongly skewed and tied.","Do parasite-burden distributions differ between the two lakes?","The two groups have the same response distribution.","32 independent fish per lake have negative-binomial parasite counts. Clear has mean 5 and Reedy mean 10, both with size parameter 1.5; variances are mean + mean squared / 1.5.","The lake distributions differ, including their mean and spread. The same-distribution null is false; there is not a simple equal-shape location shift.","lake: Lake of independently sampled fish: [category]; parasites: Parasite burden of one fish: [count]","Observed medians: Clear 3.0; Reedy 8.0 parasites | W = 362.5; asymptotic p = 0.04452 | Medians describe these data; the general null concerns distributions.","Parasite burdens had observed medians 3.0 (Clear) and 8.0 (Reedy). The rank-sum comparison gave W = 362.5, p = 0.04452. This is evidence about the distributions; calling it a median test requires additional shape assumptions.","
	Wilcoxon rank sum test with continuity correction

data:  parasites by lake
W = 362.5, p-value = 0.04452
alternative hypothesis: true location shift is not equal to 0
","A rank-sum result can reflect distributional differences; the mean-count question also has a direct count-model route.","modules/rank_sum/generated/data.csv","modules/rank_sum/analysis.R","modules/rank_sum/generated/plot.png","8b40b8869308bcf8b8e78a9239f04fff","a81a5d3a8875bfa8f83a9a541c909b26"
