"animal","week","vaccine","infected"
1,0,"Control",0
1,1,"Control",0
1,2,"Control",0
1,3,"Control",1
2,0,"Control",0
2,1,"Control",1
2,2,"Control",1
2,3,"Control",1
3,0,"Control",0
3,1,"Control",1
3,2,"Control",1
3,3,"Control",1
4,0,"Control",0
4,1,"Control",1
4,2,"Control",1
4,3,"Control",1
5,0,"Control",1
5,1,"Control",1
5,2,"Control",0
5,3,"Control",1
6,0,"Control",0
6,1,"Control",0
6,2,"Control",0
6,3,"Control",1
7,0,"Control",0
7,1,"Control",0
7,2,"Control",0
7,3,"Control",0
8,0,"Control",0
8,1,"Control",1
8,2,"Control",1
8,3,"Control",1
9,0,"Control",0
9,1,"Control",1
9,2,"Control",0
9,3,"Control",1
10,0,"Control",0
10,1,"Control",0
10,2,"Control",0
10,3,"Control",1
11,0,"Control",1
11,1,"Control",1
11,2,"Control",1
11,3,"Control",1
12,0,"Control",1
12,1,"Control",1
12,2,"Control",1
12,3,"Control",1
13,0,"Control",1
13,1,"Control",1
13,2,"Control",1
13,3,"Control",1
14,0,"Control",0
14,1,"Control",0
14,2,"Control",1
14,3,"Control",1
15,0,"Control",0
15,1,"Control",0
15,2,"Control",0
15,3,"Control",0
16,0,"Control",0
16,1,"Control",0
16,2,"Control",0
16,3,"Control",1
17,0,"Control",0
17,1,"Control",0
17,2,"Control",0
17,3,"Control",0
18,0,"Control",0
18,1,"Control",1
18,2,"Control",0
18,3,"Control",0
19,0,"Control",0
19,1,"Control",0
19,2,"Control",0
19,3,"Control",0
20,0,"Control",0
20,1,"Control",0
20,2,"Control",0
20,3,"Control",0
21,0,"Control",1
21,1,"Control",0
21,2,"Control",0
21,3,"Control",1
22,0,"Control",0
22,1,"Control",0
22,2,"Control",1
22,3,"Control",0
23,0,"Control",1
23,1,"Control",0
23,2,"Control",1
23,3,"Control",1
24,0,"Control",0
24,1,"Control",1
24,2,"Control",1
24,3,"Control",1
25,0,"Control",0
25,1,"Control",0
25,2,"Control",0
25,3,"Control",1
26,0,"Control",0
26,1,"Control",0
26,2,"Control",0
26,3,"Control",0
27,0,"Control",0
27,1,"Control",0
27,2,"Control",1
27,3,"Control",0
28,0,"Control",0
28,1,"Control",1
28,2,"Control",0
28,3,"Control",1
29,0,"Control",1
29,1,"Control",1
29,2,"Control",1
29,3,"Control",1
30,0,"Control",0
30,1,"Control",0
30,2,"Control",1
30,3,"Control",1
31,0,"Control",0
31,1,"Control",0
31,2,"Control",0
31,3,"Control",0
32,0,"Control",0
32,1,"Control",1
32,2,"Control",0
32,3,"Control",0
33,0,"Control",1
33,1,"Control",0
33,2,"Control",1
33,3,"Control",1
34,0,"Control",0
34,1,"Control",0
34,2,"Control",0
