"Order","Species","Diploid_number","Fundamental_number","Sex_chromosome"
"Anura","Leptodactylus_pentadactylus",22,44,"XY"
"Anura","Bombina_orientalis",24,48,"XY"
"Anura","Eupsophus_insularis",30,44,"XY"
"Anura","Eupsophus_migueli",30,44,"XY"
"Anura","Fejervarya_limnocharis",26,52,"XY"
"Anura","Eleutherodactylus_johnstonei",28,36,"XY"
"Anura","Gastrotheca_ovifera",26,52,"XY"
"Anura","Gastrotheca_pseustes",26,52,"XY"
"Anura","Gastrotheca_riobambae",26,38,"XY"
"Anura","Gastrotheca_walkeri",26,48,"XY"
"Anura","Hyla_femoralis",24,44,"XY"
"Anura","Hyla_japonica",24,48,"XY"
"Anura","Engystomops_freibergi",22,NA,"XY"
"Anura","Engystomops_petersi",22,NA,"XY"
"Anura","Microhyla_fissipes",24,48,"XY"
"Anura","Pelodytes_punctatus",24,48,"XY"
"Anura","Amolops_granulosus",26,NA,"XY"
"Anura","Amolops_mantzorum",26,NA,"XY"
"Anura","Pelophylax_ridibundus",26,52,"XY"
"Anura","Rana_clamitans",26,52,"XY"
"Anura","Rana_japonica",26,52,"XY"
"Anura","Rana_pipiens",26,52,"XY"
"Anura","Rana_sakuraii",26,52,"XY"
"Anura","Rana_tagoi",26,52,"XY"
"Anura","Rana_temporaria",26,NA,"XY"
"Anura","Strabomantis_biporcatus",36,42,"XY"
"Gymnophiona","Indotyphlus_battersbyi",26,50,"XY"
"Urodela","Bolitoglossa_subpalmata",26,52,"XY"
"Urodela","Cryptotriton_veraepacis",26,NA,"XY"
"Urodela","Dendrotriton_rabbi",26,NA,"XY"
"Urodela","Hydromantes_ambrosii",28,54,"XY"
"Urodela","Hydromantes_flavus",28,54,"XY"
"Urodela","Hydromantes_genei",28,54,"XY"
"Urodela","Hydromantes_imperialis",28,54,"XY"
"Urodela","Hydromantes_supramontis",28,NA,"XY"
"Urodela","Nototriton_abscondens",26,NA,"XY"
"Urodela","Nototriton_picadoi",26,NA,"XY"
"Urodela","Oedipina_poelzi",26,NA,"XY"
"Urodela","Oedipina_uniformis",26,NA,"XY"
"Urodela","Oedipina_uniformis",26,52,"XY"
"Urodela","Thorius_dubitus",26,NA,"XY"
"Urodela","Thorius_pennatulus",26,52,"XY"
"Urodela","Necturus_alabamensis",38,68,"XY"
"Urodela","Necturus_lewisi",38,76,"XY"
"Urodela","Necturus_maculosus",38,64,"XY"
"Urodela","Necturus_punctatus",38,76,"XY"
"Urodela","Ichthyosaura_alpestris",24,48,"XY"
"Urodela","Lissotriton_boscai",24,48,"XY"
"Urodela","Lissotriton_helveticus",24,48,"XY"
"Urodela","Lissotriton_italicus",24,48,"XY"
"Urodela","Lissotriton_vulgaris",24,48,"XY"
"Urodela","Triturus_cristatus",24,48,"XY"
"Urodela","Triturus_karelinii",24,48,"XY"
"Urodela","Triturus_marmoratus",24,48,"XY"
"Anura","Discoglossus_pictus",28,54,"ZW"
"Anura","Bufo_bufo",22,44,"ZW"
"Anura","Proceratophrys_boiei",22,44,"ZW"
"Anura","Euphlyctis_cyanophlyctis",26,52,"ZW"
"Anura","Hoplobatrachus_tigerinus",26,52,"ZW"
"Anura","Pseudis_tocantins",24,48,"ZW"
"Anura","Leiopelma_archeyi",18,36,"ZW"
"Anura","Leiopelma_hamiltoni",18,34,"ZW"
"Anura","Leiopelma_hochstetteri",22,32,"ZW"
"Anura","Engystomops_coloradorum",20,40,"ZW"
"Anura","Physalaemus_ephippifer",22,44,"ZW"
"Anura","Crinia_bilingua",24,48,"ZW"
"Anura","Xenopus_laevis",36,NA,"ZW"
"Anura","Pyxicephalus_adspersus",26,48,"ZW"
"Anura","Tomopterna_delalandii",26,52,"ZW"
"Anura","Amolops_liangshanensis",26,NA,"ZW"
"Anura","Buergeria_buergeri",26,NA,"ZW"
"Anura","Pristimantis_euphronides",32,32,"ZW"
"Anura","Pristimantis_shrevei",32,32,"ZW"
"Urodela","Ambystoma_jeffersonianum",28,56,"ZW"
"Urodela","Ambystoma_laterale",28,56,"ZW"
"Urodela","Ambystoma_mexicanum",28,56,"ZW"
"Urodela","Ambystoma_tigrinum",28,56,"ZW"
"Urodela","Hynobius_hidamontanus",56,NA,"ZW"
"Urodela","Hynobius_quelpaertensis",56,NA,"ZW"
"Urodela","Hynobius_tokyoensis",56,NA,"ZW"
"Urodela","Aneides_ferreus",28,56,"ZW"
"Urodela","Chiropterotriton_dimidiatus",26,52,"ZW"
"Urodela","Pleurodeles_poireti",24,48,"ZW"
"Urodela","Pleurodeles_waltl",24,48,"ZW"
