"plant","treatment","days","event"
1,"Control",33.2739301421118,1
2,"Control",15.4534463243951,1
3,"Control",9.15904902956552,1
4,"Control",65.3983728960156,0
5,"Control",10.1598302523295,1
6,"Control",4.49541701624791,1
7,"Control",4.4776750728488,1
8,"Control",15.8673205093148,1
9,"Control",21.3317501866754,1
10,"Control",68.2259176019579,0
11,"Control",42.566154487431,0
12,"Control",2.48084175699686,1
13,"Control",7.87493862832586,1
14,"Control",21.591097922683,1
15,"Control",10.3901542102297,1
16,"Control",7.22159495991137,1
17,"Control",5.94285193623768,1
18,"Control",42.8702827524349,1
19,"Control",11.2328139444192,1
20,"Control",13.2149895135727,1
21,"Control",31.8810178155126,1
22,"Control",11.4918016414675,1
23,"Control",0.991697287542691,1
24,"Control",6.71467051530878,1
25,"Control",2.49784901324246,1
26,"Control",28.2686209503746,1
27,"Control",1.34377628564835,1
28,"Control",46.2647914886475,0
29,"Control",9.41615632424752,1
30,"Control",45.0722133833915,0
31,"Control",10.7490348629653,1
32,"Control",25.0381682679656,1
33,"Control",29.3543269020587,1
34,"Control",20.3157238238986,1
35,"Control",52.5491830887003,1
36,"Control",27.1349163509676,1
37,"Control",21.9856556495629,1
38,"Control",34.1808896493122,1
39,"Control",11.9693600469165,1
40,"Control",14.101117985152,1
41,"Control",28.0105451112591,1
42,"Control",20.9775279370218,1
43,"Control",37.3189752761218,1
44,"Control",0.812540543064053,1
45,"Control",8.78387454690205,1
46,"Control",2.58359107316334,1
47,"Control",10.3919413044221,1
48,"Control",7.68656666494078,1
49,"Control",10.5867703441348,1
50,"Control",44.7310715448111,0
51,"Low",13.2776065884779,1
52,"Low",23.7136942010029,1
53,"Low",5.89940175414085,1
54,"Low",7.22393546061017,1
55,"Low",21.2987388173739,1
56,"Low",4.35534756796878,1
57,"Low",16.4206390889982,1
58,"Low",69.2336841147948,1
59,"Low",0.961626771216591,1
60,"Low",44.4712977763265,0
61,"Low",73.3270294684917,0
62,"Low",44.9091516435146,0
63,"Low",8.90947729578215,1
64,"Low",55.7304426999696,1
65,"Low",5.13262157328427,1
66,"Low",41.4226635731757,0
67,"Low",9.88977691005628,1
68,"Low",29.7663791592035,1
69,"Low",39.9906026495898,1
70,"Low",10.0800030864775,1
71,"Low",37.8749116309885,1
72,"Low",22.050849845012,1
73,"Low",52.0046579565349,1
74,"Low",4.362787399441,1
75,"Low",32.5314875057244,1
76,"Low",23.4964333150192,1
77,"Low",14.6674735161165,1
78,"Low",1.65011518013974,1
79,"Low",63.9397947710562,1
80,"Low",9.70739160649383,1
81,"Low",5.43713743487994,1
82,"Low",51.4587370492518,0
83,"Low",2.79613296471574,1
84,"Low",0.336226766407353,1
85,"Low",77.6089121568777,1
86,"Low",6.83787403007348,1
87,"Low",28.0972520185912,1
88,"Low",3.78730109271904,1
89,"Low",15.480795611317,1
90,"Low",30.7954206195765,1
91,"Low",34.9788013662094,1
92,"Low",44.7605585493147,0
93,"Low",77.5555576104671,0
94,"Low",7.67527329998071,1
95,"Low",49.5215509273112,0
96,"Low",51.1343636211562,1
97,"Low",3.41143778835734,1
98,"Low",70.7907449454069,0
99,"Low",7.53819034434855,1
100,"Low",36.5500037854815,1
101,"High",15.9889571109994,1
102,"High",53.8682984560728,0
103,"High",69.704777316079,1
104,"High",3.43222485822347,1
105,"High",18.0242490023375,1
106,"High",2.32165699335438,1
107,"High",61.6110412031412,0
108,"High",0.197601645266698,1
109,"High",52.5617326702923,0
110,"High",5.33724524494674,1
111,"High",70.0186741165817,0
112,"High",4.23094200798207,1
113,"High",35.0834033193274,1
114,"High",63.029957395047,0
115,"High",50.2841645944864,0
116,"High",7.60769774038019,1
117,"High",61.304143210873,0
118,"High",16.8479164086562,1
119,"High",40.938795786351,0
120,"High",40.7354516908526,0
121,"High",48.0250505605715,1
122,"High",70.2732322085649,0
123,"High",56.3419184539219,1
124,"High",6.7138241636173,1
125,"High",8.40812704215447,1
126,"High",43.5599516890943,0
127,"High",18.0379541125149,1
128,"High",62.3763211875995,1
129,"High",8.34561535157263,1
130,"High",60.8405139110982,0
131,"High",77.6335164438933,0
132,"High",46.3090665265918,0
133,"High",45.8601687569171,0
134,"High",22.4550558226112,1
135,"High",26.4149714251862,1
136,"High",0.953561005493005,1
137,"High",41.4027762629855,1
138,"High",7.97820990209163,1
139,"High",59.9860664330264,1
140,"High",44.0913431253284,0
141,"High",62.3794494755566,0
142,"High",63.0758879706264,0
143,"High",39.5514425901744,1
144,"High",40.6462975961308,1
145,"High",65.5830980565654,1
146,"High",10.9725198384771,1
147,"High",54.6714771352708,0
148,"High",77.9196122102439,0
149,"High",72.6616564951837,0
150,"High",14.8703686427325,1
