doi,paper_title,paper_authors,first_author,paper_year,paper_journal,session_id,kingdom,phylum,class,order,family,subfamily,genus,species,tau_mean_hours,tau_sd_hours,tau_sem_hours,tau_min_hours,tau_max_hours,sample_size,sex,age_class,genotype,strain,light_condition,temperature_celsius,measurement_method,tissue_or_output,collection_locality,country,source_page,source_context,extraction_reasoning,accepted_name,gbif_key,taxonomy_note,extraction_confidence,flag_for_review,source_type,pdf_source,pdf_filename,pdf_url,notes,processed_date,calibrated_confidence,consensus_agreement,extraction_trace_id,audit_status,audit_session,audit_prior_values,pdf_path
10.1016/0031-9384(91)90286-Y,Wheel-Running Activity Rhythms in Two Inbred Strains of Laboratory Rats Under Different Photoperiods,"Ursula Siebert, Franziska Wollnik",Siebert,1991,Physiology & Behavior,2026-03-27T17:18:43Z,Animalia,Chordata,Mammalia,Rodentia,Muridae,,Rattus,Rattus norvegicus,24.27,0.067,0.03,,,5,male,adult,ACI/Ztrn,ACI/Ztrn,DD,22,wheel_running,locomotor_activity,"Hanover, FRG",Germany,1138,Chi square periodogram analysis of wheel-running activity under constant darkness (DD). Free-running period reported as mean ± SE.,"Direct extraction from Results section, page 1138: 'τ=24.27±0.03 h SE' for ACI strain in DD. SE converted to SD using formula SD = SE × √n = 0.03 × √5 = 0.067. Sample size N=5 stated in Methods. Temperature from housing conditions (22 ± 1 °C). Males, age ~38 days at start, measured as adults. Measurement via magnetic reed switches on wheel with 5-min resolution; periods detected via chi square periodogram.",Rattus norvegicus,2814868,Common laboratory rat strain (inbred ACI/Ztrn),0.95,False,primary,local,Siebert_1991_PhysiolBehav.pdf,,Inbred strain ACI/Ztrn showed unimodal activity pattern. Free-running period measured under continuous darkness. Temperature maintained at 22 ± 1 °C. Tau differs significantly from LEW strain (p≤0.01).,2026-03-27,0.95,,siebert_1991_aci_dd_001,,,,
10.1016/0031-9384(91)90286-Y,Wheel-Running Activity Rhythms in Two Inbred Strains of Laboratory Rats Under Different Photoperiods,"Ursula Siebert, Franziska Wollnik",Siebert,1991,Physiology & Behavior,2026-03-27T17:18:43Z,Animalia,Chordata,Mammalia,Rodentia,Muridae,,Rattus,Rattus norvegicus,24.1,0.045,0.02,,,5,male,adult,LEW/Ztm,LEW/Ztm,DD,22,wheel_running,locomotor_activity,"Hanover, FRG",Germany,1138,Chi square periodogram analysis of wheel-running activity under constant darkness (DD). Free-running period reported as mean ± SE.,"Direct extraction from Results section, page 1138: 'τ = 24.1 ±0.02 h SE' for LEW strain in DD. SE converted to SD using formula SD = SE × √n = 0.02 × √5 = 0.045. Sample size N=5 stated in Methods (combination of younger and older LEW rats; Methods states 'LEW (N = 2)' and 'LEW (N = 3)', totaling N=5). Temperature from housing conditions (22 ± 1 °C). Males measured as adults. Measurement via magnetic reed switches on wheel with 5-min resolution; periods detected via chi square periodogram.",Rattus norvegicus,2814868,Common laboratory rat strain (inbred LEW/Ztm),0.95,False,primary,local,Siebert_1991_PhysiolBehav.pdf,,Inbred strain LEW/Ztm showed multimodal activity pattern (bimodal with activity bouts 3-5 h apart). Free-running period measured under continuous darkness. Temperature maintained at 22 ± 1 °C. Tau differs significantly from ACI strain (p≤0.01).,2026-03-27,0.95,,siebert_1991_lew_dd_001,,,,
10.1523/JNEUROSCI.13-03-01065.1993,Effect of SCN Lesions on Sleep in Squirrel Monkeys: Evidence for Opponent Processes in Sleep-Wake Regulation,"Edgar DM, Dement WC, Fuller CA",Edgar,1993,The Journal of Neuroscience,2026-03-27T17:18:43Z,Animalia,Chordata,Mammalia,Primates,Cebidae,,Saimiri,Saimiri sciureus,25.0,0.4472,0.2,24.8,25.2,5,male,adult,wild-type,,LL,23,locomotor_activity,locomotor activity / sleep-wake waveform,,USA,1068,"Table 1: Group ± SEM τ_m = 25.0 ± 0.2 hr, intact monkeys in LL (500 lux)","Direct measurement from Table 1. Group mean from 5 intact adult male squirrel monkeys housed in constant light (500 lux). Individual tau values reported as 25.1, 25.2, 25.1, 24.8, 25.1 hr. Measurement method: circadian rhythm analysis of sleep-wake states recorded via EEG/EMG.",Saimiri sciurea,2438176,"Common squirrel monkey, widely used in sleep research",0.95,False,primary,Edgar_1993_JNeurosci_01065.pdf,Edgar_1993_JNeurosci_01065.pdf,,Intact (sham-lesioned) control animals only. SCN-lesioned animals showed complete loss of circadian rhythms in all measured variables (arrhythmic). Tau value well-documented with low SEM.; SD computed from SEM×√n,2026-03-27,0.95,,edgar_1993_intact_squirrel_ll_tau,,,,
10.2170/jjphysiol.49.425,After-Effect of Entrainment on the Period of Human Circadian System,"Endo T, Honma S, Hashimoto S, Honma K",Endo,1999,Japanese Journal of Physiology,2026-03-27T17:18:43Z,Animalia,Chordata,Mammalia,Primates,Hominidae,,Homo,Homo sapiens,24.48,0.3464,0.1,,,12,male,young_adult,,,DD,24,body_temperature,body temperature (rectal),Sapporo,Japan,427,"Mean period in S-1 was 24.58±0.10 (SE) h for the temperature rhythm, gradually lengthened to 24.84±0.09 h in S-2",Explicit tau value with SEM and n stated in Results section for Session S-1,Homo sapiens,2436436,Humans; temporal isolation study in Japan,0.95,False,primary,Endo_1999_JJPhysiol_49425.pdf,Endo_1999_JJPhysiol_49425.pdf,,Session S-1 (D2-D6); tau lengthened in subsequent sessions; light pulse experiment separate; doi_note: Not listed - JJPhysiol.49.425-430.1999; SD computed from SEM×√n,2026-03-27,0.95,,tau_endo_1999_s1_temp,,,,pdfs/Endo-1999-Endo-a.pdf
10.2170/jjphysiol.49.425,After-Effect of Entrainment on the Period of Human Circadian System,"Endo T, Honma S, Hashimoto S, Honma K",Endo,1999,Japanese Journal of Physiology,2026-03-27T17:18:43Z,Animalia,Chordata,Mammalia,Primates,Hominidae,,Homo,Homo sapiens,24.84,0.3118,0.09,,,12,male,young_adult,,,DD,24,body_temperature,body temperature (rectal),Sapporo,Japan,427,"The free-run period of rectal temperature rhythm was 24.48 h in S-1, and gradually lengthened in the following sessions finally becoming 25.36 in S-4",Explicit tau value with SEM stated in Results for Session S-2; tau continues to lengthen,Homo sapiens,2436436,Humans; temporal isolation study in Japan,0.95,False,primary,Endo_1999_JJPhysiol_49425.pdf,Endo_1999_JJPhysiol_49425.pdf,,Session S-2 (D6-D10); part of progressive lengthening of tau across isolation period; doi_note: Not listed - JJPhysiol.49.425-430.1999; SD computed from SEM×√n,2026-03-27,0.95,,tau_endo_1999_s2_temp,,,,pdfs/Endo-1999-Endo-a.pdf
10.2170/jjphysiol.49.425,After-Effect of Entrainment on the Period of Human Circadian System,"Endo T, Honma S, Hashimoto S, Honma K",Endo,1999,Japanese Journal of Physiology,2026-03-27T17:18:43Z,Animalia,Chordata,Mammalia,Primates,Hominidae,,Homo,Homo sapiens,25.16,,,,,10,male,young_adult,,,DD,24,body_temperature,body temperature (rectal),Sapporo,Japan,428,The values were essentially identical to the standard period (25.00 h). The finding indicates that the circadian system comes into a steady state more than 15 d after the start of free-running.,Tau value stated in Results text for S-3; SEM not provided but n can be inferred from ANOVA note,Homo sapiens,2436436,Humans; temporal isolation study in Japan,0.75,False,primary,Endo_1999_JJPhysiol_49425.pdf,Endo_1999_JJPhysiol_49425.pdf,,Session S-3 (D12-D16); SEM not explicitly given; tau plateaus near 25h; n=10 from figure caption; doi_note: Not listed - JJPhysiol.49.425-430.1999,2026-03-27,0.75,,tau_endo_1999_s3_temp,,,,pdfs/Endo-1999-Endo-a.pdf
10.2170/jjphysiol.49.425,After-Effect of Entrainment on the Period of Human Circadian System,"Endo T, Honma S, Hashimoto S, Honma K",Endo,1999,Japanese Journal of Physiology,2026-03-27T17:18:43Z,Animalia,Chordata,Mammalia,Primates,Hominidae,,Homo,Homo sapiens,25.36,0.1414,0.05,,,8,male,young_adult,,,DD,24,body_temperature,body temperature (rectal),Sapporo,Japan,428,The periods in S-3 and S-4 were not significantly different. The mean period in S-1 was 24.58±0.10 and significantly increased from 24 h. A one-way ANOVA revealed a significant change during the entire period of free-running,Tau value in S-4 stated as 25.36±0.05 h in Results text; represents plateau phase of tau,Homo sapiens,2436436,Humans; temporal isolation study in Japan,0.9,False,primary,Endo_1999_JJPhysiol_49425.pdf,Endo_1999_JJPhysiol_49425.pdf,,Session S-4 (D18-D22); final plateau of tau; n=8 subjects with complete data; doi_note: Not listed - JJPhysiol.49.425-430.1999; SD computed from SEM×√n,2026-03-27,0.9,,tau_endo_1999_s4_temp,,,,pdfs/Endo-1999-Endo-a.pdf
10.2170/jjphysiol.49.425,After-Effect of Entrainment on the Period of Human Circadian System,"Endo T, Honma S, Hashimoto S, Honma K",Endo,1999,Japanese Journal of Physiology,2026-03-27T17:18:43Z,Animalia,Chordata,Mammalia,Primates,Hominidae,,Homo,Homo sapiens,24.63,0.2985,0.09,,,11,male,young_adult,,,DD,24,melatonin_assay,plasma melatonin,Sapporo,Japan,427,"The mean period was 24.75±0.10 (SE) h for the temperature rhythm, 24.63±0.09 (SE) h for the melatonin rhythm, and 24.69±0.12 (SE) h for the rest-activity cycle",Explicit tau value with SEM stated in Results for D3-D10 period; melatonin RIA measurement,Homo sapiens,2436436,Humans; temporal isolation study in Japan,0.95,False,primary,Endo_1999_JJPhysiol_49425.pdf,Endo_1999_JJPhysiol_49425.pdf,,Plasma melatonin rhythm (D3-D10); n=11 from figure caption; short tau compared to temperature; doi_note: Not listed - JJPhysiol.49.425-430.1999; SD computed from SEM×√n,2026-03-27,0.95,,tau_endo_1999_melatonin,,,,pdfs/Endo-1999-Endo-a.pdf
10.2170/jjphysiol.49.425,After-Effect of Entrainment on the Period of Human Circadian System,"Endo T, Honma S, Hashimoto S, Honma K",Endo,1999,Japanese Journal of Physiology,2026-03-27T17:18:43Z,Animalia,Chordata,Mammalia,Primates,Hominidae,,Homo,Homo sapiens,24.69,0.398,0.12,,,11,male,young_adult,,,DD,24,other,rest-activity behavior,Sapporo,Japan,427,"The free-run period for sleep rhythm was obtained from a regression line fitted to consecutive sleep midpoints from D3 to D10. No significant differences were detected in these periods, and no correlations were significant between two of the three circadian rhythms",Explicit tau value with SEM stated in Results for D3-D10; rest-activity measured continuously,Homo sapiens,2436436,Humans; temporal isolation study in Japan,0.95,False,primary,Endo_1999_JJPhysiol_49425.pdf,Endo_1999_JJPhysiol_49425.pdf,,Rest-activity cycle (D3-D10); n=11; intermediate tau between temperature and melatonin; doi_note: Not listed - JJPhysiol.49.425-430.1999; SD computed from SEM×√n,2026-03-27,0.95,,tau_endo_1999_restactivity,,,,pdfs/Endo-1999-Endo-a.pdf
10.1371/journal.pbio.0000013,Drosophila Free-Running Rhythms Require Intercellular Communication,"Ying Peng, Dan Stoleru, Joel D. Levine, Jeffrey C. Hall, Michael Rosbash",Peng,2003,PLoS BIOLOGY,2026-03-27T17:18:43Z,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,,Drosophila,Drosophila melanogaster,23.0,,,,,,not_specified,adult,Pdf01,Pdf01 mutant,DD,25,locomotor_activity,locomotor_activity,,,033-034,"By tracking their locomotor activity phases, we observed that most of them had accumulated an approximately 4-hour phase advance relative to wild-type flies by the fourth day in DD. This is consistent with the measured ca. 23-hour periods of these weakly rhythmic flies (1-hour phase advanced per day for 4 days)",Pdf01 mutant flies measured in constant darkness (DD) showing free-running behavioral periods. The ca. 23-hour period represents weakly rhythmic individuals measured by behavioral locomotor activity monitoring.,Drosophila melanogaster,1,,0.7000000000000001,True,primary,plos_biology,Peng_2003_PLoSBio_0000013.pdf,,"This is a molecular biology study focusing on intercellular communication in circadian clocks. Only one tau measurement found: Pdf01 mutant weakly rhythmic flies with ca. 23-hour period in DD. No explicit n provided; described as 'a significant fraction' of Pdf01 flies. Confidence lowered due to: (1) imprecise 'ca.' estimate, (2) no explicit sample size, (3) weakly rhythmic phenotype (damping behavior noted). | flag_reason: low_confidence",2026-03-27,0.6,,tau_peng_2003_pdf01_dd_23h,confirmed,audit_20260331,,pdfs/Peng-2003-rhythm-a.pdf
