"bee","odor","visit"
1,"A",0
1,"B",1
1,"C",1
2,"A",0
2,"B",1
2,"C",0
3,"A",1
3,"B",0
3,"C",0
4,"A",0
4,"B",1
4,"C",1
5,"A",0
5,"B",0
5,"C",0
6,"A",0
6,"B",0
6,"C",0
7,"A",0
7,"B",0
7,"C",0
8,"A",0
8,"B",0
8,"C",1
9,"A",0
9,"B",0
9,"C",1
10,"A",0
10,"B",1
10,"C",0
11,"A",0
11,"B",1
11,"C",1
12,"A",1
12,"B",1
12,"C",0
13,"A",1
13,"B",0
13,"C",1
14,"A",0
14,"B",0
14,"C",1
15,"A",0
15,"B",1
15,"C",1
16,"A",1
16,"B",1
16,"C",1
17,"A",0
17,"B",1
17,"C",1
18,"A",0
18,"B",0
18,"C",1
19,"A",0
19,"B",0
19,"C",0
20,"A",0
20,"B",0
20,"C",0
21,"A",0
21,"B",0
21,"C",1
22,"A",0
22,"B",0
22,"C",1
23,"A",1
23,"B",0
23,"C",1
24,"A",0
24,"B",0
24,"C",1
25,"A",0
25,"B",1
25,"C",0
26,"A",0
26,"B",0
26,"C",0
27,"A",0
27,"B",0
27,"C",1
28,"A",1
28,"B",0
28,"C",1
29,"A",0
29,"B",1
29,"C",0
30,"A",0
30,"B",0
30,"C",0
31,"A",1
31,"B",0
31,"C",1
32,"A",0
32,"B",0
32,"C",1
33,"A",0
33,"B",0
33,"C",0
34,"A",1
34,"B",0
34,"C",0
35,"A",1
35,"B",0
35,"C",1
36,"A",1
36,"B",0
36,"C",1
37,"A",0
37,"B",0
37,"C",0
38,"A",0
38,"B",0
38,"C",0
39,"A",1
39,"B",0
39,"C",1
40,"A",1
40,"B",1
40,"C",0
41,"A",0
41,"B",1
41,"C",0
42,"A",1
42,"B",1
42,"C",0
43,"A",1
43,"B",1
43,"C",1
44,"A",1
44,"B",0
44,"C",1
45,"A",0
45,"B",1
45,"C",0
46,"A",1
46,"B",0
46,"C",1
47,"A",0
47,"B",1
47,"C",1
48,"A",0
48,"B",1
48,"C",0
49,"A",0
49,"B",1
49,"C",0
50,"A",1
50,"B",1
50,"C",1
51,"A",0
51,"B",0
51,"C",0
52,"A",0
52,"B",1
52,"C",1
53,"A",0
53,"B",1
53,"C",1
54,"A",1
54,"B",0
54,"C",0
55,"A",0
55,"B",0
55,"C",0
56,"A",0
56,"B",0
56,"C",0
57,"A",1
57,"B",1
57,"C",1
58,"A",0
58,"B",0
58,"C",0
59,"A",0
59,"B",1
59,"C",0
60,"A",0
60,"B",1
60,"C",1
