"readdepth","chromosome"
5.02270571720856,"X"
0,"X"
0,"X"
2.84870366849437,"X"
0,"X"
0,"X"
9.76088210677729,"X"
0,"X"
4.35928287792538,"X"
0.980517894564651,"X"
4.78568111546966,"X"
0,"X"
0,"X"
1.86367424295047,"X"
0.104975988233985,"X"
3.10116214855516,"X"
0,"X"
0,"X"
5.0599649307702,"X"
0,"X"
1.7857253204681,"X"
2.969245453698,"X"
3.3198202798964,"X"
0,"X"
2.94804541288537,"X"
5.92360865502567,"X"
0,"X"
0.951156677142399,"X"
7.14080841495146,"X"
0,"X"
11.2277229670602,"X"
0,"X"
0,"X"
0.850169798170829,"X"
4.5703249689124,"X"
3.63267478729564,"X"
0,"X"
0,"X"
2.39329353286287,"X"
5.41398424668801,"X"
2.70084860723229,"X"
0,"X"
1.48143116662942,"X"
0,"X"
0,"X"
2.39198168579665,"X"
0,"X"
4.30764354488134,"X"
0,"X"
0,"X"
3.88469524644101,"X"
0.818653636295545,"X"
1.92077467402839,"X"
3.19692736507145,"X"
4.96666277554291,"X"
0,"X"
3.67562138054208,"X"
2.61115414786278,"X"
0,"X"
0,"X"
0,"X"
0,"X"
4.55344172318709,"X"
0,"X"
0,"X"
0,"X"
5.84248421633015,"X"
6.00370241442091,"X"
0,"X"
0,"X"
0,"X"
0.0287623786969828,"X"
8.97973388466269,"X"
8.17608756917253,"X"
2.87152416770095,"X"
0.292958642761976,"X"
0,"X"
1.95815947543885,"X"
0,"X"
0,"X"
0,"X"
5.77639390487109,"X"
4.01350352134431,"X"
5.58576791763315,"X"
0,"X"
0,"X"
0.484200466649027,"X"
0,"X"
2.69619026334622,"X"
0.944371450668105,"X"
0,"X"
0,"X"
0,"X"
0,"X"
0,"X"
0,"X"
0,"X"
5.72484983203286,"X"
4.90935294553643,"X"
0,"X"
4.20429145923509,"X"
3.63492061456806,"X"
0.0205270534256902,"X"
4.15858132537347,"X"
4.62169647126221,"X"
0.367639708597825,"X"
0,"X"
0,"X"
0,"X"
0,"X"
0.0646651254979367,"X"
2.03343518737706,"X"
7.58158357514029,"X"
0,"X"
0,"X"
6.12426920537957,"X"
0.222214970161153,"X"
4.34591168949368,"X"
0,"X"
0,"X"
0.515541975355027,"X"
0.508500626423234,"X"
0,"X"
4.89060586370426,"X"
0.787404633166231,"X"
7.32841559200331,"X"
6.75282585689035,"X"
0,"X"
0.779329667794824,"X"
0.0559020434495534,"X"
1.83682186135892,"X"
6.16146547396169,"X"
2.93807705522997,"X"
0.592641218949598,"X"
0,"X"
6.75838090217324,"X"
0,"X"
0,"X"
0,"X"
0,"X"
0,"X"
4.56902021092091,"X"
2.33313094674067,"X"
0,"X"
0,"X"
2.8965007418367,"X"
0,"X"
2.58001507755869,"X"
0,"X"
0.23143912432806,"X"
1.60739456032639,"X"
1.14582607869511,"X"
1.51562545813543,"X"
6.09576413178026,"X"
4.18226832101384,"X"
0.965467817674715,"X"
4.46075749363248,"X"
0,"X"
0,"X"
0,"X"
0,"X"
0,"X"
0,"X"
0,"X"
0,"X"
0,"X"
9.87607722580088,"X"
1.5415662344275,"X"
1.11703253901203,"X"
5.05155832430079,"X"
0.247824338589065,"X"
0,"X"
3.09511775928654,"X"
2.31243412491406,"X"
0,"X"
6.42156379863678,"X"
0,"X"
4.3319378943351,"X"
2.11669140030934,"X"
