site,date,elev,oaks,jun,gloriosa,beyeri,trip
1,205,1843,0,1,11,4,A
2,205,1626,0,0,6,0,A
3,205,2250,1,1,11,6,A
4,206,2325,1,1,7,4,A
5,206,2031,0,1,9,3,A
6,207,1635,0,0,7,0,A
7,208,1860,1,1,0,6,A
8,208,2117,0,0,5,7,A
9,208,2137,1,0,5,6,A
10,210,2150,1,0,7,4,A
11,210,1798,0,0,6,0,A
12,210,1954,1,0,9,4,A
13,210,1860,1,0,1,7,A
14,211,2014,1,1,10,6,A
15,212,2006,0,0,5,7,A
16,212,2275,1,1,9,8,A
17,212,2182,1,1,7,6,A
18,213,2186,1,1,8,7,A
19,213,1881,0,1,5,2,A
20,214,1929,0,1,6,0,A
21,214,2143,1,1,7,6,A
22,214,2165,1,1,5,7,A
23,214,2026,0,0,6,3,A
24,215,1963,0,0,3,3,A
25,216,1767,0,0,6,3,A
26,216,2203,1,0,3,6,A
1,240,1843,0,1,4,0,B
2,240,1626,0,0,1,0,B
3,241,2250,1,1,3,2,B
4,241,2325,1,1,2,2,B
5,241,2031,0,1,3,0,B
6,242,1635,0,0,0,0,B
7,244,1860,1,1,2,1,B
8,244,2117,0,0,0,0,B
9,245,2137,1,0,0,3,B
10,245,2150,1,0,0,1,B
11,245,1798,0,0,1,0,B
12,245,1954,1,0,1,1,B
13,246,1860,1,0,0,3,B
14,246,2014,1,1,3,3,B
15,246,2006,0,0,1,0,B
16,248,2275,1,1,4,2,B
17,248,2182,1,1,2,0,B
18,248,2186,1,1,2,3,B
19,249,1881,0,1,1,0,B
20,249,1929,0,1,3,0,B
21,250,2143,1,1,1,3,B
22,250,2165,1,1,2,2,B
23,251,2026,0,0,1,0,B
24,251,1963,0,0,1,0,B
25,251,1767,0,0,0,0,B
26,251,2203,1,0,0,3,B
