"prefight","postfight","outcome"
30.3,52.5,"WIN"
49.2,20.6,"LOSE"
33.8,58.6,"WIN"
19.3,21,"LOSE"
44.8,58.9,"WIN"
35.4,24.7,"WIN"
32.6,15.2,"LOSE"
45,14.4,"LOSE"
14,15.4,"WIN"
23,21.8,"LOSE"
36.6,43,"WIN"
53.7,7.1,"LOSE"
4.9,41.5,"WIN"
12.9,14.7,"LOSE"
43.8,37.2,"WIN"
63.9,45.1,"WIN"
31.3,63.3,"WIN"
37.7,76.8,"WIN"
25.8,31.6,"WIN"
22.7,23.7,"WIN"
51.5,10.4,"LOSE"
26,12.4,"LOSE"
58.3,10.5,"LOSE"
31.4,28.9,"WIN"
39.1,11.7,"WIN"
3.1,39.3,"WIN"
9.1,21.2,"WIN"
20.3,6.9,"LOSE"
28.9,21.6,"LOSE"
26.6,33.2,"WIN"
28.8,7.7,"LOSE"
66,56.2,"WIN"
45.5,21.4,"WIN"
47.4,39.8,"WIN"
39.3,0.7,"LOSE"
27.2,1.9,"LOSE"
14.2,35.4,"WIN"
37.7,12.1,"LOSE"
16.6,22.1,"WIN"
34.1,10.7,"LOSE"
21.3,13.9,"LOSE"
25.1,30.3,"WIN"
37.9,13.7,"LOSE"
22.9,23,"WIN"
38.4,8,"WIN"
36.9,16.6,"LOSE"
40.7,17.7,"LOSE"
30.3,48.8,"WIN"
51,14.3,"LOSE"
36.2,39.7,"WIN"
22.4,13,"LOSE"
35.1,46.9,"WIN"
44.6,11.4,"LOSE"
40.3,12.5,"LOSE"
28.5,15.1,"LOSE"
36.7,41.5,"WIN"
38.5,28.3,"WIN"
24.2,25,"LOSE"
49,20.5,"WIN"
25.8,18.3,"LOSE"
38.4,19.5,"LOSE"
36.8,21.7,"WIN"
36.6,18.2,"LOSE"
23.5,9.5,"LOSE"
37.9,10.1,"LOSE"
62.7,21.4,"LOSE"
30,8.5,"LOSE"
19.1,15.2,"LOSE"
32.1,9.2,"LOSE"
45.8,42.5,"WIN"
40.5,38.6,"WIN"
23.3,12.5,"LOSE"
56,31.9,"WIN"
56.2,9.4,"LOSE"
15.4,42.3,"WIN"
32.5,34.1,"WIN"
28.3,22.3,"WIN"
44.3,7.3,"LOSE"
21.4,27.6,"WIN"
56.5,50.3,"WIN"
19.8,7.2,"LOSE"
36.4,14.2,"LOSE"
28.3,12.7,"LOSE"
38.9,16.7,"WIN"
27.9,35.9,"WIN"
39,39.2,"WIN"
40.7,13.5,"LOSE"
45.7,35.6,"WIN"
41.9,16.1,"LOSE"
33.6,66.2,"WIN"
22,38.3,"WIN"
44.9,23.8,"LOSE"
24.8,13.8,"LOSE"
58,7.8,"LOSE"
28,42.2,"WIN"
24.5,41,"WIN"
35.7,12.3,"LOSE"
11.1,43,"WIN"
28.8,25.3,"LOSE"
32.1,9.3,"LOSE"
