"gene","treated","expression"
1,0,5.77752076269615
1,0,6.30547876318671
1,0,5.97837420004123
1,0,5.55129859688178
1,0,6.62372689168127
1,0,8.12688796717403
1,0,6.61123465920142
1,0,6.07635836414103
1,0,8.1216173591383
1,0,5.25678546127731
1,0,6.06032443370929
1,0,4.76800411762098
1,1,7.1095583535604
1,1,5.75447911714226
1,1,7.99550239517956
1,1,8.24790288656745
1,1,6.16550812744756
1,1,6.43742912432728
1,1,7.39591248013223
1,1,6.90236846418903
1,1,6.55301312492036
1,1,5.28694180960801
1,1,9.55784821024241
1,1,6.77457232839414
2,0,6.91396491974432
2,0,5.64554637852281
2,0,4.34443665304968
2,0,6.85384150444152
2,0,6.30078044826976
2,0,4.45126646826926
2,0,5.7837686993348
2,0,6.91244391021452
2,0,5.84999953583559
2,0,5.67495995913647
2,0,6.01940951923893
2,0,7.22036976710415
2,1,8.32220238038358
2,1,7.72559965063693
2,1,6.59589455759213
2,1,6.07482196648118
2,1,8.11325510739043
2,1,7.87608745984292
2,1,6.96946515131524
2,1,7.34874724441762
2,1,6.30853786046023
2,1,6.85305329025113
2,1,6.85043501077162
2,1,6.61194829948878
3,0,7.38455979575177
3,0,5.61306313860479
3,0,6.64858173437124
3,0,5.16915349873414
3,0,6.80131375326121
3,0,6.64386448795226
3,0,6.43761308282892
3,0,6.60054100920401
3,0,6.01003238814074
3,0,8.07527005284207
3,0,6.9219179490193
3,0,6.55189722772054
3,1,7.36311033489912
3,1,8.49208175433093
3,1,4.44596398022364
3,1,7.06599413970713
3,1,7.73020061624639
3,1,6.32217750471499
3,1,6.03430639659254
3,1,7.44662750164082
3,1,6.64598206154039
3,1,8.80965513779321
3,1,8.99061311612273
3,1,7.10749954640812
4,0,4.63745830280206
4,0,6.52503431890277
4,0,6.441702657648
4,0,6.81961061733982
4,0,5.65197430642537
4,0,6.28271048248364
4,0,4.58377613962632
4,0,5.94811893384468
4,0,6.65963152701011
4,0,6.72925418075162
4,0,6.95567751581893
4,0,6.67188626222135
4,1,7.10684931929784
4,1,7.23287410272814
4,1,7.15228513015112
4,1,8.2273826053133
4,1,8.45493669762133
4,1,6.15178521861137
4,1,6.04798685381447
4,1,9.76424612001429
4,1,7.03524951875272
4,1,6.5851976385285
4,1,6.60602078761161
4,1,7.26123885765397
5,0,6.93859627864809
5,0,6.93610277692845
5,0,5.87471951199966
5,0,4.84861476282792
5,0,6.17093877840434
5,0,5.99192479982347
5,0,6.08120707478128
5,0,5.02962957995944
5,0,5.8556164047036
5,0,6.50011246281033
5,0,4.28358869456186
5,0,5.20609527048232
5,1,6.24447054945265
5,1,6.18422985316829
5,1,5.99012762557183
5,1,7.84660509476609
5,1,5.04905257356016
5,1,9.20274306728928
5,1,6.25621673405745
5,1,8.13843575098417
5,1,7.02782643775852
5,1,5.73474961985079
5,1,7.4271957655569
5,1,6.22386202098282
6,0,7.07764439968203
6,0,6.87458857379331
6,0,4.8955128638567
6,0,5.12178276136431
6,0,4.82813499241512
6,0,4.96215363665509
6,0,5.57467795749818
6,0,5.60077966850112
6,0,5.50387951263819
6,0,6.14180032496631
6,0,7.30947887117395
6,0,5.51478112686477
