cross,mean,SE,sex,environ,sire,dam
P1,1.743478261,0.020094723,F,1,2,1
P1,1.71952381,0.010767592,M,1,2,1
P2,1.873125,0.027320913,F,1,4,3
P2,1.829230769,0.011939934,M,1,4,3
F1,1.745,0.013228757,F,1,4,1
F1,1.72,0.04,M,1,4,1
rF1,1.852,0.013190906,F,1,2,3
rF1,1.78,0.019771421,M,1,2,3
F2c,1.72,0.064291005,F,1,8,7
F2c,1.677142857,0.018735539,M,1,8,7
BC1b,1.689285714,0.013885888,F,1,8,1
BC1b,1.690625,0.010184496,M,1,8,1
rBC1b,1.816666667,0.003333333,F,1,2,7
rBC1b,1.72,0.01,M,1,2,7
BC2b,1.6525,0.024622145,F,1,4,7
rBC2b,1.737142857,0.01741842,F,1,8,3
