"cross","mean","SE","sex","environ","sire","dam"
"p1",0.0231384925966207,0.00913016770528538,"U",1,1,1
"p2",0.0642320549791861,0.00903537121721634,"U",1,2,2
"f1",0.0740312716782993,0.00734322567472972,"U",1,2,1
"rf1",0.0281547628061871,0.00608467561923014,"U",1,1,2
"f2a",0.0492629186981346,0.00971090095310649,"U",1,3,3
"rf2b",0.0517177179549885,0.0113707394969104,"U",1,3,4
"f2b",0.0715123225868086,0.00868635938621117,"U",1,4,3
"bc1a",0.0603682503607971,0.0059676211431245,"U",1,3,1
"bc1b",0.0743437416233638,0.0141297132328248,"U",1,4,1
"rbc1a",0.0673051550961537,0.0102812793516036,"U",1,1,3
"rbc1b",0.0439328920601278,0.00584722513067251,"U",1,1,4
"rbc2a",0.0686252001430884,0.0178231079549079,"U",1,3,2
"rbc2b",0.0569837340023675,0.0137410886216552,"U",1,4,2
"bc2a",0.0473897453718329,0.00855421911175556,"U",1,2,3
"bc2b",0.0697205085469791,0.00999226715540359,"U",1,2,4
