cross,mean,SE,sex,environ,sire,dam
P1,53.76470588,45.92301038,U,1,1,1
P2,55.08,34.52973333,U,1,2,2
F1,59.36,52.48626667,U,1,2,1
rF1,79.42857143,22.88843537,U,1,1,2
F2a,17.16666667,14.92171717,U,1,3,3
rF2b,15.41666667,11.05239899,U,1,3,4
F2b,22.25,17.97159091,U,1,4,3
F2c,23.16666667,13.13383838,U,1,4,4
BC1a,29.52380952,11.00770975,U,1,3,1
BC1b,28.23809524,12.6138322,U,1,4,1
rBC1a,12.76190476,4.485260771,U,1,1,3
rBC1b,14.14285714,5.358503401,U,1,1,4
rBC2a,27.9047619,20.50430839,U,1,3,2
rBC2b,17.0952381,9.40430839,U,1,4,2
BC2a,18.71428571,6.562585034,U,1,2,3
BC2b,21.23809524,8.123356009,U,1,2,4
