cross,mean,SE,sex,environ,sire,dam
P1,0.900846259,0.02776151,M,1,1,1
P2,0.882655771,0.039212224,M,1,2,2
F1,0.560345084,0.065534802,M,1,2,1
rF1,0.575504346,0.053725219,M,1,1,2
F2b,0.605665069,0.04399172,M,1,4,3
F2c,0.481115338,0.044616676,M,1,4,4
BC1a,0.650513778,0.04429416,M,1,3,1
BC1b,0.61900632,0.065608974,M,1,4,1
rBC1a,0.558301337,0.063803353,M,1,1,3
rBC1b,0.52849202,0.068051743,M,1,1,4
rBC2a,0.802432884,0.038822217,M,1,3,2
rBC2b,0.63901722,0.110676965,M,1,4,2
BC2b,0.605221683,0.049906358,M,1,2,4
2BC1b,0.705048115,0.0333494,M,1,8,1
