cross,mean,SE,sex,environ,sire,dam
P1,34.28571,7.67716,U,1,1,1
P2,34.14286,2.9393,U,1,2,2
F1,29,8.07996,U,1,2,1
rF1,35.33333,9.94876,U,1,1,2
F2a,38.28571,4.16741,U,1,3,3
rF2b,38,4.11733,U,1,3,4
F2b,45.57143,7.31879,U,1,4,3
F2c,50.14286,5.81226,U,1,4,4
BC1a,42.28571,4.76952,U,1,3,1
BC1b,45.42857,7.36742,U,1,4,1
rBC1a,27.57143,4.93702,U,1,1,3
rBC1b,48.71429,20.53883,U,1,1,4
rBC2a,32.85714,8.92676,U,1,3,2
rBC2b,33.85714,7.28805,U,1,4,2
BC2a,14.42857,7.05373,U,1,2,3
BC2b,29.57143,6.58229,U,1,2,4
