"cross","mean","SE","sex","environ","sire","dam"
"p1",0.409871541447848,0.042911617333933,"U",1,1,1
"p2",0.430209235209235,0.0941540166127173,"U",1,2,2
"f1",0.369700147116678,0.044053020643319,"U",1,2,1
"rf1",0.447200152269081,0.0985447757121816,"U",1,1,2
"f2a",0.620530438245108,0.0374661924765655,"U",1,3,3
"rf2b",0.249247268883911,0.0312532394915137,"U",1,3,4
"f2b",0.470548129260188,0.0198744880822443,"U",1,4,3
"bc1a",0.311530472171583,0.0420229694115004,"U",1,3,1
"bc1b",0.389164368450083,0.0728236957891722,"U",1,4,1
"rbc1a",0.323601961283546,0.058849013254669,"U",1,1,3
"rbc1b",0.339235153520868,0.0376116596677693,"U",1,1,4
"rbc2a",0.54464482360542,0.0267320656542648,"U",1,3,2
"rbc2b",0.405898550724638,0.0450863229542877,"U",1,4,2
"bc2a",0.447238794683114,0.0517170542439692,"U",1,2,3
"bc2b",0.34021164021164,0.0716008113423112,"U",1,2,4
