"cross","mean","SE","sex","environ","sire","dam"
"p1",0,1e-05,"U",1,1,1
"p2",0,1e-05,"U",1,2,2
"f1",0.00484261501210654,0.00484261501210654,"U",1,2,1
"rf1",0.0321964312040606,0.013545215934905,"U",1,1,2
"f2a",0.11434288500615,0.0155673175358142,"U",1,3,3
"rf2b",0.0778378121434909,0.0209880252613651,"U",1,3,4
"f2b",0.150859817890431,0.0625436956589522,"U",1,4,3
"bc1a",0.0668915343915344,0.0570491604577904,"U",1,3,1
"bc1b",0.0391275391275391,0.0238529527768816,"U",1,4,1
"rbc1a",0.511136666989662,0.0690843258330603,"U",1,1,3
"rbc1b",0.107404149017052,0.0386268510201847,"U",1,1,4
"rbc2a",0.125,0.125,"U",1,3,2
"rbc2b",0.0546846011131725,0.0283597254863008,"U",1,4,2
"bc2a",0.0450211020863195,0.0306368395251118,"U",1,2,3
"bc2b",0.114088504088504,0.0475787944296006,"U",1,2,4
