cross,mean,SE,sex,environ,sire,dam
P1,35,7.42582,U,1,1,1
P2,47.16667,10.03919,U,1,2,2
F1,61.28571,9.87955,U,1,2,1
rF1,55,11.87434,U,1,1,2
F2a,71.28571,14.29571,U,1,3,3
rF2b,69,14.28286,U,1,3,4
F2b,68.14286,14.73808,U,1,4,3
F2c,95.83333,14.42779,U,1,4,4
BC1a,44.85714,16.721,U,1,3,1
BC1b,26.83333,9.26433,U,1,4,1
rBC1a,68.85714,6.69552,U,1,1,3
rBC1b,51.25,21.14779,U,1,1,4
rBC2a,81.5,12.13466,U,1,3,2
rBC2b,42.75,20.06396,U,1,4,2
BC2a,69.42857,8.70374,U,1,2,3
BC2b,85.25,21.53437,U,1,2,4
