cross,mean,SE,sex,environ,sire,dam
P1,340,41.83006536,U,42.5,1,1
BC1,180,41.83006536,U,42.5,1,3
F1,520,26.14379085,U,42.5,1,6
F2,140,44.44444444,U,42.5,3,3
BC2,100,52.2875817,U,42.5,6,3
P2,230,26.14379085,U,42.5,6,6
P1,490,28.40236686,U,48.5,7,7
BC1,340,11.83431953,U,48.5,7,9
F1,435,10.65088757,U,48.5,7,12
F2,105,26.03550296,U,48.5,9,9
BC2,175,20.1183432,U,48.5,12,9
P2,345,5.917159763,U,48.5,12,12
P1,300,25.21008403,U,33.33333333,13,13
BC1,120,17.64705882,U,33.33333333,13,15
F1,175,11.34453782,U,33.33333333,13,18
F2,80,42.85714286,U,33.33333333,15,15
BC2,70,47.89915966,U,33.33333333,18,15
P2,200,12.60504202,U,33.33333333,18,18
P1,516.6666666,17.94871795,U,54.23611111,19,19
BC1,237.5,12.82051282,U,54.23611111,19,21
F1,168.75,7.692307692,U,54.23611111,19,24
F2,118.75,26.92307692,U,54.23611111,21,21
BC2,162.5,32.05128205,U,54.23611111,24,21
P2,300,11.53846154,U,54.23611111,24,24
P1,145,74.28571429,U,33.2708333,25,25
BC1,90,40,U,33.2708333,25,27
F1,105,17.5,U,33.2708333,25,30
F2,30,55,U,33.2708333,27,27
BC2,40,35,U,33.2708333,30,27
P2,90,15,U,33.2708333,30,30
P1,155,28.57142857,U,49.84375,31,31
BC1,85,28.57142857,U,49.84375,31,33
F1,80,14.28571429,U,49.84375,31,36
F2,35,31.42857143,U,49.84375,33,33
BC2,50,40,U,49.84375,36,33
P2,90,20,U,49.84375,36,36
