cross,mean,SE,sex,environ,sire,dam
P1,20.85714,41.877551,U,1,1,1
P2,24.57143,80.707483,U,1,2,2
F1,42,39.333333,U,1,2,1
rF1,31.71429,53.319728,U,1,1,2
F2a,25.71429,35.891156,U,1,3,3
rF2b,25.42857,34.755102,U,1,3,4
F2b,38.42857,21.183673,U,1,4,3
F2c,34.71429,31.795918,U,1,4,4
BC1a,39.14286,25.353741,U,1,3,1
BC1b,43.42857,45.183673,U,1,4,1
rBC1a,22,10.666667,U,1,1,3
rBC1b,21.57143,36.564626,U,1,1,4
rBC2a,18.57143,28.136054,U,1,3,2
rBC2b,24.85714,13.782313,U,1,4,2
BC2a,27.28571,64.081633,U,1,2,3
BC2b,26.57143,29.564626,U,1,2,4
