cross,mean,SE,sex,environ,sire,dam
P1,0.669285217,0.162045895,F,1,2,1
P1,0.372347619,0.147589812,M,1,2,1
P2,-0.038654375,0.164117234,F,1,4,3
P2,0.620209487,0.209737309,M,1,4,3
F1,0.135365,0.342784402,F,1,4,1
F1,0.413355,0.293415,M,1,4,1
rF1,0.06391,0.108922978,F,1,2,3
rF1,0.952649167,0.184087535,M,1,2,3
F2c,1.4581,0.427573207,F,1,8,7
F2c,0.472982857,0.156398564,M,1,8,7
BC1b,0.124320714,0.125945627,F,1,8,1
BC1b,0.263565,0.099584066,M,1,8,1
rBC1b,1.078893333,0.252805323,F,1,2,7
rBC1b,0.627445,0.09688966,M,1,2,7
BC2b,0.9232,0.183496192,F,1,4,7
rBC2b,-1.31625,1.548826715,F,1,8,3
