cross,mean,SE,sex,environ,sire,dam
P1,0.219824783,0.314126381,F,1,2,1
P1,0.202579048,0.245844313,M,1,2,1
P2,-0.154358125,0.178333433,F,1,4,3
P2,0.434058974,0.197291239,M,1,4,3
F1,0.015875,0.003171673,F,1,4,1
F1,0.02897,0.01712,M,1,4,1
rF1,0.03786,0.006722481,F,1,2,3
rF1,0.028998333,0.012636813,M,1,2,3
F2c,0.055966667,0.03795771,F,1,8,7
F2c,0.057651429,0.016652031,M,1,8,7
BC1b,0.050186429,0.010133252,F,1,8,1
BC1b,0.045715,0.007146286,M,1,8,1
rBC1b,0.01843,0.00044441,F,1,2,7
rBC1b,0.0234,0.00521366,M,1,2,7
BC2b,0.09210125,0.030820538,F,1,4,7
rBC2b,0.023507143,0.005205838,F,1,8,3
