cross,mean,SE,sex,environ,sire,dam
P1,12.3,1.490385856,F,1,1,1
P2,8.9,2.393480729,F,1,2,2
F1,12.57142857,4.160727059,F,1,2,1
rF1,9.125,2.102330057,F,1,1,2
F2b,10.22916667,0.550015783,F,1,4,3
F2c,15.875,1.678038854,F,1,4,4
BC1a,13.625,1.164964745,F,1,3,1
BC1b,12.35714286,1.59319343,F,1,4,1
rBC1a,9.75,1.050973575,F,1,1,3
rBC1b,10.95,1.159382019,F,1,1,4
rBC2a,11.0625,1.429714944,F,1,3,2
rBC2b,11.78571429,1.813005735,F,1,4,2
BC2b,11.775,0.563286487,F,1,2,4
2BC1b,14.6,4.357177986,F,1,8,1
