"cross","mean","SE","sex","environ","sire","dam"
"p1",0.0226190476190476,0.0128769688409428,"U",1,1,1
"p2",0.00934360224586289,0.00467642255580597,"U",1,2,2
"f1",0.00650695060632949,0.00420628886522564,"U",1,2,1
"rf1",0.0273015873015873,0.0179470400318763,"U",1,1,2
"f2a",0.00701165741816148,0.00452612464444537,"U",1,3,3
"rf2b",0.0180856144097214,0.00488847012586723,"U",1,3,4
"f2b",0.0828870363353122,0.0608976401286772,"U",1,4,3
"bc1a",0.00476284325318618,0.00308962747181552,"U",1,3,1
"bc1b",0.0118354618354618,0.00616871581721606,"U",1,4,1
"rbc1a",0.00646551724137931,0.00646551724137931,"U",1,1,3
"rbc1b",0,1e-05,"U",1,1,4
"rbc2a",0.00162337662337662,0.00162337662337662,"U",1,3,2
"rbc2b",0.00427350427350427,0.00427350427350427,"U",1,4,2
"bc2a",0.00671550671550672,0.00443401680291024,"U",1,2,3
"bc2b",0.0138888888888889,0.0138888888888889,"U",1,2,4
