"seed","treatment","days","event"
1,"Control",11.058161895054,1
2,"Control",26.1480823980189,1
3,"Control",5.19415270853795,1
4,"Control",22.3929165285081,0
5,"Control",8.92397164253965,1
6,"Control",13.4512394393624,1
7,"Control",16.5362425814388,1
8,"Control",10.5590595333247,1
9,"Control",7.26215524421913,1
10,"Control",15.6348006805948,1
11,"Control",15.0684585842785,1
12,"Control",7.217979684263,1
13,"Control",18.5203569903756,1
14,"Control",20.6340188135705,1
15,"Control",2.01709599972021,1
16,"Control",2.64586024366565,1
17,"Control",4.04198052210793,1
18,"Control",10.1622768462688,1
19,"Control",12.2336866681269,1
20,"Control",3.80670758409626,1
21,"Control",19.9784436880729,1
22,"Control",34.2585965242538,1
23,"Control",23.0254661650186,1
24,"Control",11.2672801606677,1
25,"Control",11.1651704122159,1
26,"Control",18.6597189560362,1
27,"Control",9.77562699566061,1
28,"Control",17.9726520214139,1
29,"Control",11.6570443806829,1
30,"Control",15.3836615008402,1
31,"Control",17.2312376894265,1
32,"Control",10.7683673518669,1
33,"Control",13.5064615860248,1
34,"Control",16.4970801204292,1
35,"Control",37.24039861653,0
36,"Control",13.7827343900563,1
37,"Control",13.7666628747729,1
38,"Control",17.235867466613,1
39,"Control",30.7651526600977,1
40,"Control",20.4577783455453,1
41,"Control",24.1125869968226,1
42,"Control",3.93385969403311,1
43,"Control",18.9488210849494,1
44,"Control",25.0211929641664,0
45,"Control",18.9084173486771,1
46,"Control",3.85236357329641,1
47,"Control",26.4541665193136,1
48,"Control",8.78826234638884,1
49,"Control",6.4949334426479,1
50,"Control",4.50906050885531,1
51,"Control",27.7997352710517,1
52,"Control",9.85226941953808,1
53,"Control",28.1619218660954,1
54,"Control",11.4430370083465,1
55,"Control",4.48012543173004,1
56,"Control",7.10609589427906,1
57,"Control",26.9604778379239,1
58,"Control",7.74240999963931,1
59,"Control",7.90275249261804,1
60,"Control",31.9975014133379,0
61,"Control",6.85562014005256,1
62,"Control",28.558095462038,1
63,"Control",17.9827048029805,1
64,"Control",11.9480422546889,1
65,"Control",6.63349244929963,1
66,"Control",9.81411680013315,1
67,"Control",0.935205599772485,1
68,"Control",27.2179055986847,1
69,"Control",14.6128702801465,1
70,"Control",49.4119577892125,0
71,"Cold",17.6176541593585,1
72,"Cold",6.16663484341702,1
73,"Cold",33.7786901043728,0
74,"Cold",28.6643790722435,1
75,"Cold",16.1912460432282,1
76,"Cold",15.9136450502969,1
77,"Cold",27.5888984606273,1
78,"Cold",18.8301591121262,1
79,"Cold",9.99295311723689,1
80,"Cold",38.2667160883492,1
81,"Cold",28.8426669914619,1
82,"Cold",28.0427870776063,1
83,"Cold",32.2457426465434,1
84,"Cold",10.6607814198385,1
85,"Cold",21.927740862788,1
86,"Cold",25.113136511296,0
87,"Cold",9.92310190702075,1
88,"Cold",27.4063342325389,0
89,"Cold",32.7191933616996,0
90,"Cold",4.43362598216779,1
91,"Cold",11.1263560170719,1
92,"Cold",15.6625126589171,1
93,"Cold",8.8467845267805,1
94,"Cold",26.3664949955419,0
95,"Cold",31.2686632737112,1
96,"Cold",8.64652722795847,1
97,"Cold",32.5996130825952,0
98,"Cold",31.2660440336913,0
99,"Cold",16.6383175872299,1
100,"Cold",14.8784833390043,1
101,"Cold",30.0574909105127,1
102,"Cold",19.5728879981668,1
103,"Cold",16.3465987885427,1
104,"Cold",36.7032078791068,1
105,"Cold",12.5908944706606,1
106,"Cold",7.09572336061932,1
107,"Cold",4.53617962811308,1
108,"Cold",26.6812644971758,1
109,"Cold",19.9115025803422,1
110,"Cold",29.8590424731374,0
111,"Cold",48.4905775124207,0
112,"Cold",43.2237927438691,0
113,"Cold",20.4648648930043,1
114,"Cold",30.8905530745685,1
115,"Cold",24.7688819490416,1
116,"Cold",25.2171020265669,0
117,"Cold",25.7258359575644,0
118,"Cold",18.4998084864929,1
119,"Cold",22.5331603717059,0
120,"Cold",31.3801014896788,1
121,"Cold",31.2064476426374,1
122,"Cold",28.7028998229653,0
123,"Cold",36.5581192467362,0
124,"Cold",30.2538191866164,1
125,"Cold",22.9984672341271,1
126,"Cold",1.18844734340539,1
127,"Cold",27.3442828198895,0
128,"Cold",43.4167101122439,0
129,"Cold",34.1384223774076,0
130,"Cold",16.9147842494606,1
131,"Cold",24.3590750582516,0
132,"Cold",29.1261968491683,1
133,"Cold",29.328619735099,1
134,"Cold",11.4146217278433,1
135,"Cold",25.2484942568724,1
136,"Cold",25.1249907980493,1
137,"Cold",8.70976474935178,1
138,"Cold",18.8715990811064,1
139,"Cold",46.9170467406511,0
140,"Cold",5.07005801621062,1
