"mouse","before","after"
1,1,1
2,1,1
3,1,0
4,1,0
5,0,0
6,0,0
7,0,0
8,1,0
9,0,0
10,0,0
11,1,1
12,0,0
13,0,1
14,1,1
15,0,0
16,0,0
17,1,1
18,0,0
19,1,1
20,0,0
21,1,1
22,0,0
23,0,0
24,0,0
25,0,0
26,1,1
27,1,0
28,0,0
29,0,0
30,1,1
31,0,0
32,1,1
33,0,0
34,1,1
35,1,1
36,0,1
37,1,1
38,0,1
39,0,0
40,0,0
41,1,1
42,0,1
43,0,1
44,1,1
45,1,1
46,0,0
47,1,1
48,1,1
49,1,1
50,1,1
51,0,0
52,0,0
53,0,0
54,0,1
55,0,0
56,0,0
57,0,0
58,0,1
59,0,0
60,0,0
61,1,1
62,0,0
63,0,0
64,1,1
65,0,0
66,0,1
67,0,0
68,0,1
69,1,1
70,0,0
71,1,1
72,1,1
73,0,1
74,0,0
75,1,0
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
