"plant","treatment","initial","biomass"
1,"Control",5.70954237738624,11.3170776975508
2,"Control",7.87733154091984,12.8563258031163
3,"Control",4.50338011421263,11.1223644431843
4,"Control",5.56966270180419,12.574935834342
5,"Control",6.05019523808733,9.98673653862866
6,"Control",8.83101632399485,13.0647917984689
7,"Control",6.12487433664501,12.3104123084042
8,"Control",4.62130080163479,8.8326530790325
9,"Control",6.69108661310747,15.0748759284236
10,"Control",5.34527741605416,10.9469302475172
11,"Control",8.3643139754422,13.0506477643261
12,"Control",3.64924529241398,6.57159644737835
13,"Control",5.45739773428068,7.23808908590448
14,"Control",8.13227301416919,11.6388006430224
15,"Control",6.64477315591648,14.4846234828628
16,"Control",4.64827314158902,8.21940737381687
17,"Control",8.31740578450263,13.9916112987326
18,"Control",8.42590891057625,13.4797645893162
19,"Control",7.02480226429179,16.1861854284232
20,"Control",7.441087606363,11.5449288948901
21,"Control",6.3849824918434,10.3902159167442
22,"Control",5.29119993746281,10.3656908752849
23,"Control",5.68912638165057,13.2395107124418
24,"Control",6.96473027905449,12.765264405717
25,"Control",8.37668338185176,15.9066795756827
26,"Control",7.3714317670092,13.2346972889572
27,"Control",4.50766028976068,7.42353265001935
28,"Control",8.00174885988235,11.3094633340151
29,"Control",4.93860056111589,6.78138166900893
30,"Control",6.01277311239392,7.3381527225412
31,"Control",4.57412985758856,8.92018281768062
32,"Control",7.51088927406818,11.9165451992451
33,"Control",6.60468109929934,13.1226118209966
34,"Control",3.54790765978396,7.91698689863612
35,"Control",3.18944921158254,6.03323015386236
36,"Control",6.25100923888385,12.0544035347921
37,"Control",3.1736450647004,3.91965044929739
38,"Control",5.03411602042615,10.1654542361733
39,"Control",4.47282168315724,6.78790088044059
40,"Control",5.2752739386633,12.9044319342648
41,"Control",5.16688481066376,7.12791229804572
42,"Control",3.09599905321375,7.66600618777507
43,"Control",8.6784506351687,13.4881356988563
44,"Control",3.69591698236763,7.53219942501168
45,"Control",7.73606627108529,13.2842404211845
46,"Nutrient",4.17390961758792,15.4177400007977
47,"Nutrient",7.24691272387281,12.1050564562164
48,"Nutrient",5.82552105607465,12.390197787219
49,"Nutrient",4.28355672676116,11.3550594305868
50,"Nutrient",4.12178884539753,8.99426063941099
51,"Nutrient",6.54027889994904,14.0739016681673
52,"Nutrient",6.06720055360347,11.8783433990692
53,"Nutrient",7.18846177216619,16.1333953002357
54,"Nutrient",7.10415514279157,18.2618922622755
55,"Nutrient",6.39441905356944,15.8226205453697
56,"Nutrient",4.55295502441004,14.4734493391075
57,"Nutrient",3.88492307066917,7.98467366605625
58,"Nutrient",4.88238409766927,12.8734345846731
59,"Nutrient",4.62819099007174,13.6949125478891
60,"Nutrient",6.70529715763405,12.7058251094103
61,"Nutrient",3.87442199327052,6.6596896993005
62,"Nutrient",5.0889724669978,11.468733640864
63,"Nutrient",8.47720773797482,14.5149591580648
64,"Nutrient",7.92995448270813,17.7515495392482
65,"Nutrient",3.30628455430269,10.93913563765
66,"Nutrient",3.16768454667181,5.71051359423454
67,"Nutrient",5.47264968277887,13.9522458421683
68,"Nutrient",5.41247694008052,13.5340999835379
69,"Nutrient",5.64477934129536,12.3738182691893
70,"Nutrient",5.04544505383819,12.7820843567048
71,"Nutrient",8.94827758613974,17.8446726880585
72,"Nutrient",5.85477137658745,13.9310260934345
73,"Nutrient",8.38765649311244,17.3873621794789
74,"Nutrient",5.64653378399089,13.389477539462
75,"Nutrient",4.08932813163847,11.6364540911847
76,"Nutrient",4.05631286697462,10.0689558615481
77,"Nutrient",4.76826037466526,8.44474915372991
78,"Nutrient",7.81707339081913,19.6854111119953
79,"Nutrient",5.35699107404798,13.2524337780707
80,"Nutrient",6.14032205846161,12.2198977427189
81,"Nutrient",3.13432530965656,12.5581524376376
82,"Nutrient",4.60916228452697,10.9002948906079
83,"Nutrient",7.57613769359887,14.9524071167443
84,"Nutrient",4.18164469487965,11.3641128505983
85,"Nutrient",8.92358955647796,17.5908488930722
86,"Nutrient",4.17816071072593,8.86302312647936
87,"Nutrient",3.41721746558324,8.49678390552629
88,"Nutrient",4.79437377490103,9.82575643121751
89,"Nutrient",8.504200684838,15.8764214422555
90,"Nutrient",3.52168508246541,10.1790135018074
