"fragment","temperature","severity"
1,28.1531253228895,"Moderate"
2,28.3028749451041,"None"
3,27.6260669585317,"None"
4,27.5612253323197,"Mild"
5,31.1645849784836,"Moderate"
6,30.1449909592047,"Severe"
7,27.4037343868986,"Severe"
8,28.5163248227909,"Moderate"
9,27.9691467084922,"Mild"
10,31.6821099785157,"None"
11,27.558950743638,"Mild"
12,27.0926400744356,"Moderate"
13,29.8054777886719,"Moderate"
14,28.0322945658118,"None"
15,29.0400412608869,"Mild"
16,29.6672414704226,"None"
17,28.2959415395744,"Severe"
18,28.5669931033626,"Moderate"
19,26.6577205392532,"Moderate"
20,30.8221435258165,"Severe"
21,29.1313189403154,"Severe"
22,29.3730938350782,"None"
23,26.7476904811338,"Mild"
24,29.4562183311209,"Moderate"
25,31.3299999837764,"Moderate"
26,26.9016196192242,"Mild"
27,27.4543387652375,"None"
28,30.1191121404991,"Severe"
29,28.9380924506113,"Moderate"
30,30.3550303508528,"Severe"
31,29.7367520276457,"Moderate"
32,30.5189505317248,"Severe"
33,27.1240935209207,"Mild"
34,30.9461818612181,"Moderate"
35,26.7651763814501,"Mild"
36,31.9244330860674,"Severe"
37,26.2807059530169,"None"
38,29.9566181655973,"Mild"
39,26.0376193770207,"Mild"
40,30.9401486469433,"Severe"
41,29.3716428927146,"Mild"
42,30.5196923217736,"Severe"
43,31.143012475688,"Mild"
44,29.1174711296335,"Mild"
45,26.6806548456661,"Mild"
46,26.0783249218948,"None"
47,31.6346987043507,"Severe"
48,26.9337988281623,"Mild"
49,27.4092790577561,"Severe"
50,30.4111713757738,"Moderate"
51,29.4758695634082,"None"
52,29.684692828916,"Moderate"
53,28.4007443725131,"None"
54,30.8235369739123,"Severe"
55,28.1227504485287,"None"
56,28.042308236938,"Mild"
57,31.3062881622463,"Severe"
58,27.2320574084297,"Mild"
59,29.4599934676662,"Mild"
60,29.85677717207,"Mild"
61,26.78267851891,"Moderate"
62,27.1912978198379,"None"
63,28.129003320355,"Mild"
64,30.1746365381405,"Severe"
65,29.907807183452,"None"
66,31.9418424149044,"Severe"
67,29.3813306670636,"Moderate"
68,27.7817186852917,"Mild"
69,30.2301156260073,"Severe"
70,29.8394446801394,"Severe"
71,28.2762832888402,"Moderate"
72,31.3577875015326,"Moderate"
73,30.737627829425,"Severe"
74,27.2358684879728,"None"
75,29.2099450784735,"Moderate"
76,28.7346179834567,"Moderate"
77,30.240139989648,"Mild"
78,29.3676284207031,"Moderate"
79,29.5219237515703,"Severe"
80,30.023398084566,"Severe"
81,27.1305146678351,"Mild"
82,31.2566196932457,"Severe"
83,26.1328551922925,"Mild"
84,29.4086574497633,"Moderate"
85,26.0704947463237,"None"
86,31.102881972678,"Mild"
87,27.4800366144627,"Moderate"
88,27.8974272557534,"None"
89,27.7979540238157,"Mild"
90,28.7309022466652,"Mild"
91,29.5770067679696,"Mild"
92,27.4941052910872,"None"
93,27.8954921271652,"Mild"
94,26.4544477672316,"Mild"
95,26.5363009632565,"None"
96,26.4733335627243,"None"
97,27.3827884914353,"Mild"
98,31.2377777183428,"Severe"
99,27.4486577264033,"Mild"
100,29.6696721245535,"Severe"
101,29.1997405835427,"Moderate"
102,26.5495266159996,"None"
103,26.1617822493427,"None"
104,29.5865022013895,"None"
105,30.8870224989951,"Severe"
106,27.1454450194724,"None"
107,30.2642509448342,"Moderate"
108,28.1214833911508,"Mild"
109,28.4365407847799,"Severe"
110,28.4472632394172,"Moderate"
111,27.0302333575673,"None"
112,27.4565641493537,"None"
113,30.9359887684695,"Severe"
114,28.4188867490739,"Moderate"
115,28.1358168744482,"None"
116,30.412819981575,"Moderate"
117,31.2709142551757,"Severe"
118,30.4472147091292,"Mild"
119,26.8379188929684,"None"
120,26.743026021868,"None"
121,31.2251520561986,"Moderate"
122,26.3780505852774,"Moderate"
123,27.4463030640036,"Mild"
124,29.126473005861,"Moderate"
125,30.4103521048091,"Moderate"
126,31.5915080048144,"Severe"
127,28.0839329622686,"Mild"
128,26.0570931811817,"None"
129,31.6217528576963,"Severe"
130,26.8855409943499,"Severe"
131,26.7588440156542,"None"
132,30.0690191853791,"Moderate"
133,27.2981700482778,"Mild"
134,28.1998229562305,"Moderate"
135,31.7965116552077,"Severe"
136,31.7808543215506,"Severe"
137,28.7796709560789,"Severe"
138,29.673254547175,"Moderate"
139,28.3045368138701,"Moderate"
140,30.8045135238208,"Severe"
141,31.6681881011464,"Severe"
142,29.8343157223426,"Severe"
143,28.7506607659161,"Moderate"
144,29.2666947203688,"Moderate"
