Date,Open,High,Low,Close,Volume
1992-02-01,0.2716,0.4938,0.2222,0.4198,965418
1992-03-01,0.4444,0.4691,0.2963,0.2963,662175
1992-04-01,0.321,0.3457,0.2716,0.2716,132130
1992-05-01,0.2963,0.3704,0.2963,0.321,348297
1992-06-01,0.2963,0.3457,0.2963,0.321,108841
1992-07-01,0.321,0.3951,0.321,0.3704,175666
1992-08-01,0.3951,0.4198,0.2963,0.2963,307797
1992-09-01,0.2963,0.3086,0.2716,0.2716,97197
1992-10-01,0.2716,0.2963,0.2222,0.284,140735
1992-11-01,0.2716,0.2963,0.2469,0.2716,92135
1992-12-01,0.2469,0.4198,0.2346,0.2716,840881
1993-01-01,0.284,0.3704,0.284,0.2963,229834
1993-02-01,0.321,0.3704,0.284,0.2963,138204
1993-03-01,0.321,0.3951,0.321,0.3827,259196
1993-04-01,0.3704,0.3827,0.3457,0.3457,183259
1993-05-01,0.3704,0.3827,0.3457,0.3704,136178
1993-06-01,0.3704,0.3827,0.321,0.3704,230848
1993-07-01,0.3704,0.5185,0.3333,0.4691,817591
1993-08-01,0.4691,0.7654,0.4444,0.6914,1004904
1993-09-01,0.679,0.7407,0.5926,0.6173,530040
1993-10-01,0.6049,1.3333,0.6049,1.0864,2469483
1993-11-01,1.0864,1.1852,0.963,1.0864,726972
1993-12-01,1.1111,1.2593,0.9136,1.0617,1552161
1994-01-01,1.0617,1.1605,0.963,1.1111,801391
1994-02-01,1.1358,1.9506,0.9877,1.8519,5283729
1994-03-01,1.9506,1.9753,1.3333,1.4815,5468510
1994-04-01,1.3827,1.9506,1.3086,1.8025,2528715
1994-05-01,1.8025,1.9506,1.5309,1.7037,3460218
1994-06-01,1.7037,1.8025,1.3827,1.6543,1831103
1994-07-01,1.6543,1.6543,1.284,1.3333,1341053
1994-08-01,1.358,1.358,0.8642,1.0864,3299230
1994-09-01,1.1358,1.1605,1.0123,1.0864,875304
1994-10-01,1.0864,1.4321,1.0123,1.4074,1382564
1994-11-01,1.4321,1.4568,1.0123,1.0617,1356243
1994-12-01,1.0617,1.0864,0.9383,0.9877,813035
1995-01-01,0.9877,1.4321,0.963,1.1852,1648854
1995-02-01,1.1852,1.284,1.0123,1.0123,1016546
1995-03-01,1.0123,1.2346,1.0123,1.1111,912260
1995-04-01,1.0864,1.7531,0.9877,1.6296,3425791
1995-05-01,1.6296,2.1975,1.4321,1.9753,6483036
1995-06-01,1.9506,2.3457,1.8519,2.2222,5628487
1995-07-01,2.3704,3.8765,2.3457,3.3086,18817308
1995-08-01,3.284,3.284,2.5679,2.8395,8163275
1995-09-01,2.8148,3.1358,2.5679,2.7654,3181777
1995-10-01,2.716,3.1111,2.0741,2.6667,5389028
1995-11-01,2.6667,2.963,2.1728,2.716,3634874
1995-12-01,2.6914,2.716,2.0741,2.0741,3234937
1996-01-01,2.1235,2.3457,1.6049,1.8519,2731217
