clade,species,haploid_number,citation
Accipitriformes,Pithecophaga jefferyi,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Sagittarius serpentarius,40,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Haliaeetus leucoryphus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Terathopius ecaudatus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Accipiter gentilis,39,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Pandion haliaetus,37,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Circus aeruginosus,36,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Circus cyaneus,36,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Circus pygargus,36,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Accipiter novaehollandiae,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Buteo buteo,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Buteo jamaicensis,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Buteo lagopus,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Buteo nitidus,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Buteo platypterus,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Buteo regalis,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Buteo swainsoni,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Elanus caeruleus,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Geranoaetus albicaudatus,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Geranoaetus melanoleucus,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Parabuteo unicinctus,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Rupornis magnirostris,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Spizaetus tyrannus,34,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Accipiter badius,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Accipiter nisus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Accipiter virgatus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Aquila audax,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Butastur teesa,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Buteogallus meridionalis,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Circaetus gallicus,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
Accipitriformes,Geranospiza caerulescens,33,"Alfieri, J., Bolwerk, K., & Blackmon, H., 2024. From Micro to Macro: Avian Chromosome Evolution is Dominated by Natural Selection. bioRxiv https://doi.org/10.1101/2024.11.29.626112"
