"birth_id","recorded_sex"
"B001","Female"
"B002","Male"
"B003","Male"
"B004","Female"
"B005","Male"
"B006","Male"
"B007","Female"
"B008","Female"
"B009","Female"
"B010","Female"
"B011","Male"
"B012","Male"
"B013","Female"
"B014","Male"
"B015","Female"
"B016","Male"
"B017","Female"
"B018","Female"
"B019","Female"
"B020","Male"
"B021","Male"
"B022","Male"
"B023","Male"
"B024","Female"
"B025","Male"
"B026","Male"
"B027","Male"
"B028","Male"
"B029","Male"
"B030","Female"
"B031","Male"
"B032","Female"
"B033","Male"
"B034","Female"
"B035","Male"
"B036","Male"
"B037","Male"
"B038","Male"
"B039","Male"
"B040","Male"
"B041","Female"
"B042","Male"
"B043","Female"
"B044","Male"
"B045","Female"
"B046","Male"
"B047","Female"
"B048","Female"
"B049","Male"
"B050","Male"
"B051","Female"
"B052","Male"
"B053","Male"
"B054","Female"
"B055","Female"
"B056","Male"
"B057","Female"
"B058","Male"
"B059","Female"
"B060","Male"
"B061","Female"
"B062","Male"
"B063","Male"
"B064","Male"
"B065","Male"
"B066","Male"
"B067","Male"
"B068","Male"
"B069","Female"
"B070","Female"
"B071","Male"
"B072","Male"
"B073","Male"
"B074","Female"
"B075","Male"
"B076","Male"
"B077","Male"
"B078","Male"
"B079","Male"
"B080","Female"
"B081","Female"
"B082","Male"
"B083","Male"
"B084","Female"
"B085","Female"
"B086","Female"
"B087","Female"
"B088","Male"
"B089","Male"
"B090","Female"
"B091","Male"
"B092","Male"
"B093","Male"
"B094","Female"
"B095","Male"
"B096","Male"
"B097","Female"
"B098","Male"
"B099","Female"
"B100","Male"
"B101","Female"
"B102","Male"
"B103","Female"
"B104","Male"
"B105","Male"
"B106","Female"
"B107","Male"
"B108","Female"
"B109","Female"
"B110","Female"
"B111","Male"
"B112","Male"
"B113","Female"
"B114","Male"
"B115","Male"
"B116","Male"
"B117","Female"
"B118","Male"
"B119","Female"
"B120","Male"
"B121","Female"
"B122","Female"
"B123","Female"
"B124","Male"
"B125","Female"
"B126","Female"
"B127","Male"
"B128","Male"
"B129","Male"
"B130","Male"
"B131","Male"
"B132","Female"
"B133","Male"
"B134","Female"
"B135","Male"
"B136","Male"
"B137","Male"
"B138","Female"
"B139","Male"
"B140","Female"
"B141","Male"
"B142","Female"
"B143","Female"
"B144","Male"
"B145","Female"
"B146","Male"
"B147","Female"
"B148","Male"
"B149","Female"
"B150","Male"
"B151","Female"
"B152","Female"
"B153","Male"
"B154","Female"
"B155","Female"
"B156","Female"
"B157","Female"
"B158","Male"
"B159","Female"
"B160","Male"
"B161","Male"
"B162","Male"
"B163","Female"
"B164","Male"
"B165","Male"
"B166","Male"
"B167","Male"
"B168","Male"
"B169","Male"
"B170","Male"
"B171","Male"
"B172","Male"
"B173","Male"
"B174","Female"
"B175","Male"
"B176","Female"
"B177","Female"
"B178","Female"
"B179","Female"
"B180","Female"
"B181","Female"
"B182","Male"
"B183","Female"
"B184","Female"
"B185","Male"
"B186","Male"
"B187","Male"
"B188","Male"
"B189","Female"
"B190","Female"
"B191","Male"
"B192","Male"
"B193","Male"
"B194","Female"
"B195","Female"
"B196","Female"
"B197","Male"
"B198","Male"
"B199","Female"
"B200","Male"
"B201","Female"
"B202","Female"
"B203","Male"
"B204","Male"
"B205","Female"
"B206","Female"
"B207","Male"
"B208","Male"
"B209","Male"
"B210","Female"
"B211","Female"
"B212","Male"
"B213","Male"
"B214","Female"
"B215","Male"
"B216","Male"
"B217","Female"
"B218","Male"
"B219","Male"
"B220","Male"
"B221","Female"
"B222","Male"
"B223","Female"
"B224","Male"
"B225","Male"
"B226","Female"
"B227","Female"
"B228","Female"
"B229","Male"
"B230","Male"
"B231","Female"
"B232","Female"
"B233","Male"
"B234","Female"
"B235","Male"
"B236","Male"
"B237","Male"
"B238","Male"
"B239","Male"
"B240","Female"
"B241","Female"
"B242","Male"
"B243","Male"
"B244","Male"
"B245","Female"
"B246","Male"
"B247","Male"
"B248","Male"
"B249","Female"
"B250","Male"
"B251","Male"
"B252","Male"
"B253","Female"
"B254","Female"
"B255","Male"
"B256","Male"
"B257","Male"
"B258","Female"
"B259","Female"
"B260","Female"
"B261","Male"
"B262","Male"
"B263","Male"
"B264","Male"
"B265","Male"
"B266","Male"
"B267","Female"
"B268","Female"
"B269","Male"
"B270","Male"
"B271","Male"
"B272","Male"
"B273","Male"
"B274","Male"
"B275","Female"
"B276","Female"
"B277","Female"
"B278","Male"
"B279","Female"
"B280","Male"
"B281","Male"
"B282","Female"
"B283","Male"
"B284","Male"
"B285","Female"
"B286","Male"
"B287","Female"
"B288","Male"
"B289","Male"
"B290","Female"
"B291","Male"
"B292","Male"
"B293","Female"
"B294","Female"
"B295","Male"
"B296","Female"
"B297","Male"
"B298","Male"
"B299","Male"
"B300","Female"
"B301","Female"
"B302","Male"
"B303","Female"
"B304","Female"
"B305","Female"
"B306","Female"
"B307","Male"
"B308","Female"
"B309","Female"
"B310","Female"
"B311","Male"
"B312","Female"
"B313","Male"
"B314","Male"
"B315","Female"
"B316","Male"
"B317","Male"
"B318","Male"
"B319","Male"
"B320","Female"
