"fish_id","lake","species"
"F001","Willow","Bluegill"
"F002","Willow","Bass"
"F003","Willow","Bluegill"
"F004","Willow","Bluegill"
"F005","Willow","Bluegill"
"F006","Willow","Bluegill"
"F007","Willow","Bluegill"
"F008","Willow","Bluegill"
"F009","Willow","Bluegill"
"F010","Willow","Bluegill"
"F011","Willow","Bluegill"
"F012","Willow","Bluegill"
"F013","Willow","Bluegill"
"F014","Willow","Bluegill"
"F015","Willow","Bluegill"
"F016","Willow","Bass"
"F017","Willow","Bluegill"
"F018","Willow","Bluegill"
"F019","Willow","Bluegill"
"F020","Willow","Bluegill"
"F021","Willow","Bluegill"
"F022","Willow","Bluegill"
"F023","Willow","Bluegill"
"F024","Willow","Bass"
"F025","Willow","Bluegill"
"F026","Cedar","Bluegill"
"F027","Cedar","Bass"
"F028","Cedar","Bass"
"F029","Cedar","Bass"
"F030","Cedar","Bluegill"
"F031","Cedar","Bass"
"F032","Cedar","Bass"
"F033","Cedar","Bass"
"F034","Cedar","Bass"
"F035","Cedar","Bass"
"F036","Cedar","Bluegill"
"F037","Cedar","Bluegill"
"F038","Cedar","Perch"
"F039","Cedar","Bass"
"F040","Cedar","Bluegill"
"F041","Cedar","Bluegill"
"F042","Cedar","Bass"
"F043","Cedar","Bluegill"
"F044","Cedar","Bluegill"
"F045","Cedar","Bass"
"F046","Cedar","Bass"
"F047","Cedar","Bluegill"
"F048","Cedar","Bass"
"F049","Cedar","Bluegill"
"F050","Cedar","Bass"
