"fish_id","length_cm"
"F001",18.1
"F002",20.2
"F003",17.8
"F004",21.9
"F005",22
"F006",18.7
"F007",17.5
"F008",20
"F009",18.2
"F010",16.4
"F011",16.3
"F012",19.1
"F013",17.4
"F014",19.8
"F015",22.7
"F016",17.9
"F017",18.2
"F018",19.6
"F019",21.5
"F020",20.7
"F021",18.6
"F022",18.5
"F023",21.4
"F024",19.6
"F025",18.5
"F026",18.1
"F027",20.1
"F028",16.1
"F029",18.9
"F030",18.9
"F031",22.9
"F032",16.3
"F033",20.3
"F034",20
"F035",21
"F036",17.4
"F037",17.8
"F038",26.6
"F039",22.8
"F040",19
"F041",21.1
"F042",22.9
"F043",25.7
"F044",19.2
"F045",22.1
