"fish_id","lake","length_cm"
"F001","Willow",20.6
"F002","Willow",19.2
"F003","Willow",22.6
"F004","Willow",21
"F005","Willow",18.1
"F006","Willow",19.1
"F007","Willow",19.1
"F008","Willow",19.4
"F009","Willow",18.7
"F010","Willow",16.7
"F011","Willow",20.3
"F012","Willow",19.3
"F013","Willow",19.6
"F014","Willow",21.3
"F015","Willow",19.2
"F016","Willow",22.2
"F017","Willow",17.8
"F018","Willow",19.3
"F019","Willow",21.5
"F020","Willow",21
"F021","Willow",23.7
"F022","Willow",19.2
"F023","Willow",17.4
"F024","Willow",23.8
"F025","Willow",18.5
"F026","Willow",21.2
"F027","Willow",21.6
"F028","Willow",22.5
"F029","Willow",21.9
"F030","Willow",18.5
"F031","Willow",22.8
"F032","Willow",18.8
"F033","Willow",18.7
"F034","Willow",19.4
"F035","Willow",19.3
"F036","Cedar",21.7
"F037","Cedar",19.2
"F038","Cedar",20.3
"F039","Cedar",22
"F040","Cedar",17.7
"F041","Cedar",18.7
"F042","Cedar",16.6
"F043","Cedar",22.3
"F044","Cedar",25.6
"F045","Cedar",23.9
"F046","Cedar",30.7
"F047","Cedar",21.6
"F048","Cedar",20.1
"F049","Cedar",24.8
"F050","Cedar",28.5
"F051","Cedar",17.6
"F052","Cedar",20.4
"F053","Cedar",20.4
"F054","Cedar",20.9
"F055","Cedar",24.7
"F056","Cedar",22.4
"F057","Cedar",26
"F058","Cedar",25
"F059","Cedar",24
"F060","Cedar",20.7
"F061","Cedar",27.5
"F062","Cedar",20.1
"F063","Cedar",22.2
"F064","Cedar",20.6
"F065","Cedar",25.1
"F066","Cedar",21.5
"F067","Cedar",24.4
"F068","Cedar",25.4
"F069","Cedar",20
"F070","Cedar",16.9
"F071","Cedar",19.2
"F072","Cedar",21
"F073","Cedar",23.4
"F074","Cedar",25.2
"F075","Cedar",18
"F076","Cedar",19.9
"F077","Cedar",24.8
"F078","Cedar",15.3
"F079","Cedar",20.8
"F080","Cedar",26.8
"F081","Cedar",20.8
"F082","Cedar",20.7
"F083","Cedar",21.6
"F084","Cedar",25.3
"F085","Cedar",23
"F086","Cedar",19.8
"F087","Cedar",30.7
"F088","Cedar",18.2
"F089","Cedar",18.1
"F090","Cedar",16.9
