"fish_id","lake","length_cm"
"F001","Willow",19.8
"F002","Willow",23
"F003","Willow",24.7
"F004","Willow",19.6
"F005","Willow",21
"F006","Willow",22.5
"F007","Willow",24.7
"F008","Willow",18
"F009","Willow",17.4
"F010","Willow",20.5
"F011","Willow",21.7
"F012","Willow",19
"F013","Willow",22.4
"F014","Willow",17.1
"F015","Willow",18.9
"F016","Willow",20.2
"F017","Willow",16.1
"F018","Willow",18.4
"F019","Willow",23.2
"F020","Willow",20.6
"F021","Willow",23.4
"F022","Willow",19.6
"F023","Willow",18.4
"F024","Willow",20.8
"F025","Willow",20.1
"F026","Willow",23.6
"F027","Willow",17.7
"F028","Willow",19.5
"F029","Willow",20.3
"F030","Willow",21.2
"F031","Willow",19.4
"F032","Willow",21
"F033","Willow",21.5
"F034","Willow",20.5
"F035","Willow",17.4
"F036","Willow",20.9
"F037","Willow",19.7
"F038","Willow",24.6
"F039","Willow",22.4
"F040","Willow",24.5
"F041","Cedar",22
"F042","Cedar",22.4
"F043","Cedar",19.4
"F044","Cedar",22.8
"F045","Cedar",19.5
"F046","Cedar",21.7
"F047","Cedar",22.5
"F048","Cedar",20.1
"F049","Cedar",22.1
"F050","Cedar",26.1
"F051","Cedar",20.3
"F052","Cedar",20.2
"F053","Cedar",24.7
"F054","Cedar",21.2
"F055","Cedar",18.4
"F056","Cedar",19.4
"F057","Cedar",16.9
"F058","Cedar",18
"F059","Cedar",22.5
"F060","Cedar",21.4
"F061","Cedar",22.8
"F062","Cedar",22.2
"F063","Cedar",21.9
"F064","Cedar",22
"F065","Cedar",25.4
"F066","Cedar",20.1
"F067","Cedar",19.3
"F068","Cedar",19.5
"F069","Cedar",22.9
"F070","Cedar",24.9
"F071","Cedar",23.9
"F072","Cedar",21.2
"F073","Cedar",22.3
"F074","Cedar",23.9
"F075","Cedar",20.3
"F076","Cedar",21.3
"F077","Cedar",20.8
"F078","Cedar",20.1
"F079","Cedar",25
"F080","Cedar",21.5
