"fish_id","water_temp_c","opercular_beats_min"
"F001",16,60
"F002",16.3,60
"F003",16.7,51
"F004",17,58
"F005",17.4,54
"F006",17.7,67
"F007",18.1,60
"F008",18.4,63
"F009",18.7,69
"F010",19.1,61
"F011",19.4,58
"F012",19.8,70
"F013",20.1,65
"F014",20.5,57
"F015",20.8,62
"F016",21.1,67
"F017",21.5,72
"F018",21.8,66
"F019",22.2,51
"F020",22.5,72
"F021",22.9,65
"F022",23.2,64
"F023",23.5,69
"F024",23.9,79
"F025",24.2,72
"F026",24.6,66
"F027",24.9,82
"F028",25.3,75
"F029",25.6,71
"F030",25.9,75
"F031",26.3,78
"F032",26.6,69
"F033",27,81
"F034",27.3,87
"F035",27.7,83
"F036",28,78
