"fish","length_cm","parasites"
1,27.863254705444,7
2,27.5214403253049,1
3,29.7717737685889,4
4,20.5594320036471,2
5,21.0298875980079,2
6,32.7900368403643,12
7,32.8922749198973,6
8,22.7690246254206,5
9,18.2196934651583,2
10,24.6958752907813,8
11,30.2990902327001,13
12,23.1668853778392,1
13,19.8196832556278,4
14,24.9419421348721,7
15,23.379708096385,10
16,40.51322151348,19
17,26.1326118875295,6
18,29.9000092316419,19
19,18.1835451889783,0
20,33.5977603588253,5
21,27.6679629106075,11
22,22.5507195331156,5
23,21.1013909876347,1
24,33.8623093832284,11
25,22.6098781283945,12
26,28.8194220531732,22
27,29.7924860045314,14
28,33.8311949316412,16
29,26.6911792494357,14
30,22.2664375361055,4
31,32.5193744748831,13
32,40.943111076951,21
33,25.6812360584736,1
34,18.6549789123237,1
35,21.0915891006589,3
36,29.9874244015664,1
37,32.4381584711373,22
38,33.8164156470448,43
39,36.6568152140826,21
40,35.5934283100069,23
41,32.904359087348,10
42,23.2618532236665,1
43,21.3475442938507,3
44,40.6059564091265,25
45,18.8289405126125,9
46,20.1028587687761,8
47,35.6296497825533,11
48,23.9230118561536,10
49,23.9493933711201,2
50,29.3663531262428,3
51,20.3458585739136,4
52,20.4006601944566,4
53,29.1519776210189,14
54,33.2758179120719,18
55,30.1350141204894,0
56,18.4769086707383,5
57,30.396869039163,13
58,28.2670246325433,11
59,21.9455416090786,6
60,33.4146806839854,6
61,19.7464317642152,1
62,33.6547906212509,2
63,37.3648902922869,15
64,26.3742471355945,9
65,41.5760722551495,21
66,40.2697411011904,30
67,25.5370753202587,4
68,22.0838735550642,0
69,28.581422092393,1
70,35.6685287207365,12
71,23.291184945032,2
72,21.4996095914394,2
73,41.3555116653442,40
74,29.8923908304423,21
75,18.3073286600411,1
76,24.6524227615446,1
77,33.2669274620712,5
78,37.5835600476712,27
79,21.0191759560257,7
80,28.6956325527281,1
81,28.5165501795709,14
82,22.2198849935085,3
83,26.2392186038196,1
84,38.6824553143233,23
85,37.711168712005,1
86,33.0588814336807,1
87,33.1714319810271,34
88,38.6326630767435,24
89,41.28742319718,20
90,26.8141640648246,3
91,37.7082671374083,29
92,40.9508238639683,9
93,32.6140110064298,2
94,31.9866930507123,6
95,20.9308929461986,4
96,27.8275940828025,9
97,40.2387681305408,31
98,18.2666390687227,0
99,35.6008571628481,6
100,18.0651628263295,2
101,37.2413471750915,10
102,19.0970095396042,2
103,41.234231768176,10
104,29.9038823861629,23
105,34.2245257962495,16
106,39.7005555331707,17
107,36.5447760745883,20
108,34.0212590452284,20
109,41.2041252013296,4
110,34.2666503749788,2
111,23.6391721051186,7
112,26.4202868901193,13
113,31.2629944514483,11
114,27.2318386081606,4
115,24.4317971616983,6
116,38.3768892008811,3
117,27.3492451999336,3
118,40.6371230296791,43
119,22.8402598723769,8
120,38.8209232203662,30
121,28.1963881999254,8
122,25.311977583915,7
123,22.2627611160278,5
124,30.8448490127921,26
125,38.602931343019,9
126,34.0337824802846,24
127,21.9206801634282,2
128,40.7743506934494,29
129,30.7449778374285,9
130,27.0137721262872,2
