"id","mass_1","mass_2","native_niche","test_nich"
37,4.99,7.58045389537717,"O","O"
976,5.61,8.74293532570653,"O","O"
721,5.34,7.57099567278255,"O","O"
468,5.27,8.84765104484068,"O","O"
58,5.49,8.9008682365434,"O","O"
69,4.96,8.17574724880494,"O","O"
842,5.19,8.81623397983352,"O","O"
385,5.47,9.00151193264908,"O","O"
527,5.06,8.33050463951309,"O","O"
183,5.51,8.70994271364963,"O","O"
452,5.05,8.39809302500352,"O","O"
996,5.35,8.28959453646354,"O","O"
48,5.57,8.92921090530446,"O","O"
249,4.82,8.15764373061233,"O","O"
248,5.58,9.29084429141149,"O","O"
32,5.76,8.22716748910567,"O","O"
776,5.25,8.33797483877516,"O","O"
980,5.02,8.29016905238615,"O","O"
850,5.13,8.02168507673689,"O","O"
599,5.55,8.94760763820549,"O","O"
104,5.11,8.370678452635,"O","O"
719,4.39,7.11996843147801,"O","O"
794,6,9.58947253538865,"O","O"
122,6.09,9.36993412562759,"O","O"
994,4.45,7.19931519840156,"O","O"
880,4.8,7.39582617335121,"O","O"
46,5.07,7.88551216880956,"O","O"
681,5.66,9.34431137329769,"O","O"
341,5.57,9.18261284232259,"O","O"
169,4.69,7.53209204015394,"O","O"
530,5.17,8.48547608888273,"O","O"
443,5.74,9.18317218419116,"O","O"
368,5.41,8.40417076245762,"O","O"
334,5.47,9.14198860407316,"O","O"
240,5.74,8.4708744392245,"O","O"
870,6.01,8.99593128775876,"O","O"
645,5.27,4.39502589708401,"O","O"
419,6.15,9.62753670730787,"O","O"
577,4.94,7.99358818959968,"O","O"
828,4.73,7.40520515794792,"O","O"
926,5.08,8.58417059324426,"O","O"
736,5.02,7.65289621908976,"O","O"
253,5.17,8.24527876748495,"O","O"
366,5.24,4.62382680029112,"O","O"
525,4.78,7.51181603984054,"O","O"
459,5.08,7.61405847795349,"O","O"
971,6.38,10.9134116008407,"O","O"
186,5.6,9.03466571211242,"O","O"
182,5.24,8.32377906194808,"O","O"
295,6.2,9.59860670091076,"O","O"
375,5.75,7.34164343175496,"O","S"
78,5.79,7.85491902531069,"O","S"
714,5.34,6.84236379211655,"O","S"
318,5.38,7.27302317227509,"O","S"
874,5.78,7.41858713300056,"O","S"
338,4.98,6.79142259446906,"O","S"
967,5.22,6.69894659511958,"O","S"
391,5.43,7.42977238695915,"O","S"
202,5.25,6.65257904593848,"O","S"
936,5.43,7.23804619259679,"O","S"
567,5.96,7.92883757006067,"O","S"
524,6.06,8.05658443625512,"O","S"
839,4.99,6.67722550167516,"O","S"
66,5.37,6.42329293448366,"O","S"
732,5.11,6.61443649145758,"O","S"
771,5.38,6.94076156450023,"O","S"
456,5.27,6.71076788259584,"O","S"
361,5.69,7.29174447016449,"O","S"
51,5.4,7.3361428142242,"O","S"
858,5.55,7.08608244242482,"O","S"
237,5.5,7.06690984804161,"O","S"
485,4.71,6.45066784478053,"O","S"
764,5.58,7.1285502636712,"O","S"
877,5.4,6.79140315539561,"O","S"
785,5.13,6.66059753820536,"O","S"
457,4.7,6.14566503858999,"O","S"
983,5.01,6.86728073588682,"O","S"
272,4.93,5.96042398756807,"O","S"
526,5.82,7.58348887331238,"O","S"
899,5.64,7.66445461862396,"O","S"
930,5.65,7.2557201268659,"O","S"
79,5.41,7.23901285140321,"O","S"
898,5.24,4.72269227309102,"O","S"
610,5.04,6.74301432915621,"O","S"
540,5.23,6.58454803346773,"O","S"
151,5.98,8.30742546140251,"O","S"
91,5.5,7.24516300234775,"O","S"
807,5.27,6.96331710722576,"O","S"
626,5.26,6.49380748636698,"O","S"
611,5.33,6.90024850744237,"O","S"
288,5.87,7.9964411636615,"O","S"
304,5.19,6.86323316989186,"O","S"
326,5.03,6.44196109801888,"O","S"
321,5.42,7.06136666411105,"O","S"
241,5.5,7.31100610756265,"O","S"
959,5.72,7.30768785667742,"O","S"
791,5.04,6.35488182890524,"O","S"
130,5.52,7.6166565875597,"O","S"
152,5.29,6.43982930727398,"O","S"
197,5.06,6.36334977351994,"O","S"
895,4.13,4.92922667557085,"S","O"
592,4,4.70880151083794,"S","O"
738,4.57,5.46595305187245,"S","O"
694,4.29,5.38204415207772,"S","O"
33,4.45,5.06741813555324,"S","O"
39,4.37,5.4818802181601,"S","O"
932,5.4,7.21600597554279,"S","O"
515,5.23,6.43776626521856,"S","O"
431,4.29,5.04795136265246,"S","O"
110,5.41,6.14382633413648,"S","O"
354,4.15,5.1429238610602,"S","O"
