horns,body
379.484274,4106.153128
409.313108,4072.383967
553.454715,4472.953969
583.665095,4220.731948
338.198497,3722.863837
532.9603,4046.586204
394.332697,3878.333764
472.899255,3789.809031
449.245997,3743.706184
310.847044,3849.917642
579.05566,4044.063784
507.412154,3845.167692
429.397348,3928.859436
540.53164,4472.531767
335.113359,3715.564511
550.885265,4188.897401
531.117315,4122.645115
434.850749,4204.353574
465.378412,3935.912759
401.087802,3898.542031
536.196852,3731.272342
422.218483,3709.699133
527.64603,4150.600693
527.742961,3848.933757
289.429838,3785.180074
558.840102,4445.952514
485.829172,3711.342518
370.866868,3650.499267
381.154495,3772.932525
497.982908,3917.384258
418.255367,3985.070793
340.689327,3792.637941
476.32129,4126.693211
462.202283,4082.147913
362.782979,3484.777086
501.597894,4176.88056
505.723912,4205.887804
503.720812,3873.906796
469.758919,3941.412607
316.684408,3727.619426
403.864624,3946.273189
506.2794,4335.150418
308.749274,3969.541964
509.07435,4355.660812
612.923679,4418.924793
381.829094,4075.781001
459.676705,3732.116078
357.944595,3859.335433
321.581719,3624.300011
420.607453,3930.105895
407.016911,3808.680541
521.984199,4283.927188
431.186112,3981.995609
352.08608,3795.327892
385.756673,3901.825254
467.080262,3938.001528
525.103691,4065.547429
349.43637,3744.15586
464.994857,3765.851495
323.518084,3541.974305
581.706579,4202.123233
305.152192,3779.53275
444.873998,3581.143692
326.570591,3591.823222
512.020753,4142.80511
454.062125,3909.587775
502.025756,4287.197227
386.085006,4078.863606
506.260087,4264.369968
494.459942,3963.231904
473.748869,3870.747916
500.414302,4158.397422
470.744102,4114.937631
476.974841,4047.645643
442.945397,3623.327733
520.127107,4179.443152
479.057965,3952.066345
487.833176,4133.584759
427.804488,3990.180839
463.899233,3662.962729
492.047968,3922.684015
487.434943,3857.799683
466.765859,3927.25038
464.870227,3921.858315
485.150128,3856.159857
399.956908,3789.436947
356.679952,3945.88319
492.781958,3920.058807
388.143712,4057.598923
447.779699,4374.621246
547.41338,4105.336758
544.130846,4046.222839
459.35211,4030.143252
396.884474,4286.311823
463.183228,3817.783409
529.196105,4280.815954
404.855627,3734.171884
236.893692,3391.366042
478.369408,4122.684438
488.797628,3944.549916
379.466833,3679.276509
551.352047,3802.477127
466.938234,4069.801825
518.139618,4339.601016
396.178621,3946.954222
402.542988,4139.341437
402.275096,3719.074894
