"site","salinity_ppt","richness"
1,2.09540565568022,60
2,7.34450018976349,42
3,3.97358826256823,46
4,1.95299733732827,62
5,4.00734839797951,45
6,2.77764743729495,48
7,0.57365538040176,78
8,0.768312892876565,73
9,5.03605818504002,45
10,3.1925098936772,49
11,3.2430956781609,52
12,3.47300500969868,58
13,3.73798274155706,55
14,0.870617457665503,79
15,4.5967440669192,33
16,7.28191889077425,25
17,6.02730504889041,51
18,5.34400028479286,50
19,6.84007596469019,44
20,2.58769958349876,57
21,6.43564802082255,35
22,4.54115314420778,40
23,4.30563138809521,48
24,7.30234270053916,49
25,5.86119615368079,40
26,4.22047648008447,51
27,3.27302183676511,46
28,4.22042249015067,47
29,7.37741451954935,42
30,3.48175264673773,38
31,3.17154310073238,64
32,2.55351874465123,79
33,3.33363830589224,49
34,3.20301206212025,70
35,3.23460025608074,47
36,5.55528490699362,35
37,5.56635601283051,44
38,6.50922201294452,31
39,1.65149885532446,66
40,5.84971662214957,47
41,4.11753163218964,45
42,1.58464413555339,50
43,6.11967565619852,47
44,5.66447337344289,45
45,3.30588985828217,57
