"culture","before","after"
1,6.78593799756038,7.1849263353085
2,6.07893070261203,5.8610915500608
3,5.47851842742343,5.65918500394574
4,6.1870424999375,6.51968430410169
5,6.23750914625024,6.52507806739053
6,6.06584162115914,6.24643763268804
7,5.7743018872353,5.92397829083281
8,6.45274867393073,6.79979164469673
9,6.40663746862775,6.9092080692798
10,6.42137911323821,6.80396677830975
11,6.35261976985503,6.49014514543064
12,6.11343197120555,6.50761748348414
13,5.7850079035656,6.08234414368996
14,5.37457064713902,6.16248466373168
15,5.10367186663564,5.45476991673973
16,5.72753427888876,5.97349837669136
17,5.68833749074529,5.61776472072105
18,5.51411932142392,5.57805340014991
19,6.32959362178326,5.10684081475607
20,6.60776545280193,6.9141377969863
21,5.93678098227781,6.30883417743659
22,6.24942288798065,6.14941714065468
23,6.7206355374958,6.02251400469934
24,6.0649178939816,6.59825099133382
25,6.3652285893574,6.62221438798898
26,6.57173282387403,7.03523591381629
27,5.9762943705232,5.71915551965502
28,6.0131826816922,6.40308220355959
