state,posterior,prior,likelihood,16s_fas_gb.treeLikelihood,18s_fas_gb.treeLikelihood,28s_fas_gb.treeLikelihood,coi_1_1.treeLikelihood,speciation
0,-778274.4456,-49967.14336,-728307.3022,-135439.5903,-77305.6942,-33535.9833,-482026.0344,-43546.71141
1000,-570509.0294,-15385.90453,-555123.1249,-103522.4905,-61021.94642,-25593.00931,-364985.6787,-8660.448725
2000,-460895.6923,-12269.09096,-448626.6014,-81938.69651,-61676.22135,-21761.85496,-283249.8286,-5523.383704
3000,-445692.9039,-11673.45337,-434019.4505,-77036.57756,-73664.18037,-22474.43087,-260844.2617,-5003.155854
4000,-442717.2985,-11522.84718,-431194.4514,-76557.51047,-72174.58851,-22265.7977,-260196.5547,-5013.378646
5000,-440076.5807,-11542.56983,-428534.0108,-76177.62301,-71982.00885,-22087.82976,-258286.5492,-5032.985861
6000,-438435.3208,-11553.52486,-426881.796,-75853.46914,-71708.78305,-22158.44638,-257161.0974,-5043.646986
7000,-436609.4787,-11559.64406,-425049.8346,-75759.07791,-71476.42212,-22007.51252,-255806.8221,-5050.847413
8000,-434542.6543,-11575.99479,-422966.6595,-75361.2266,-71461.31331,-21886.34207,-254257.7775,-5066.917832
9000,-429144.1534,-7762.629008,-421381.5244,-75068.93074,-71346.81955,-21860.5399,-253105.2342,-5078.822011
10000,-427760.7901,-7756.722195,-420004.0679,-74814.12226,-70635.84643,-21735.31014,-252818.789,-5097.384594
11000,-426144.343,-7761.069532,-418383.2734,-74646.30525,-70475.00571,-21697.70746,-251564.255,-5101.769686
12000,-425431.1931,-7770.135093,-417661.058,-74610.65689,-70316.6355,-21685.65263,-251048.113,-5117.392583
13000,-424553.4058,-7765.121129,-416788.2846,-74471.77935,-70121.82828,-21658.17823,-250536.4988,-5124.244965
14000,-423336.5226,-7773.756768,-415562.7658,-74281.52384,-70114.09657,-21603.47343,-249563.672,-5132.859322
15000,-422344.0437,-7775.848832,-414568.1948,-74161.85887,-70053.12753,-21573.79883,-248779.4096,-5134.771633
16000,-421193.4237,-7783.908087,-413409.5156,-73755.55047,-69962.96025,-21571.67881,-248119.3261,-5142.684516
17000,-420094.1898,-7784.868787,-412309.321,-73575.83107,-69789.39873,-21490.8199,-247453.2713,-5143.772449
18000,-419083.3956,-7790.52271,-411292.8729,-73650.41997,-69298.18391,-21489.85607,-246854.4129,-5149.275533
19000,-418211.8525,-7795.912782,-410415.9397,-73583.14366,-68996.79105,-21494.11277,-246341.8922,-5154.626805
20000,-417420.6504,-7796.435687,-409624.2147,-73539.93818,-68543.31313,-21484.91392,-246056.0494,-5160.744643
21000,-416591.8184,-7800.471867,-408791.3466,-73379.23518,-68473.08315,-21537.1591,-245401.8691,-5167.495544
22000,-415884.7547,-7800.694625,-408084.0601,-73405.65938,-67983.36795,-21453.30978,-245241.723,-5167.636471
23000,-415123.6801,-7805.766603,-407317.9135,-73195.16368,-67859.42575,-21378.61632,-244884.7077,-5172.452996
24000,-414525.6493,-7811.156933,-406714.4923,-73092.38204,-67724.56981,-21369.54191,-244527.9986,-5178.232408
25000,-413747.5031,-7816.128275,-405931.3748,-73102.63417,-67195.52735,-21304.05415,-244329.1592,-5182.893695
26000,-412927.0414,-7819.590564,-405107.4508,-72799.90863,-67708.55179,-21377.16806,-243221.8223,-5185.949814
