"","i","asc1","desc1","asc2","desc2","tran12","tran21","p","acc"
"1",1,8.93701234095263,3.62668797690271,0.106791160097187,27.9480697221672,0.625010364256415,3.84139729251958,-261.741852145243,8
"2",2,8.07995788490867,1.03937937217065,2.7561662990929,25.4995431710205,0.809465551813907,3.87772754805308,-257.334504980165,5
"3",3,7.89433029801553,0.446776946067741,3.58587883245818,17.7774117008022,0.428788191472373,3.48513952824915,-256.871159999325,7
"4",4,3.71063160769262,0.181406387589366,14.1766197466087,18.8326570653527,1.47510371842481,3.15212912727724,-255.068644339574,5
"5",5,2.20960336353842,0.144637253420065,27.2281862934584,9.0776176686569,0.49747291934706,2.13266405822038,-249.906380040225,7
"6",6,2.31477737043265,1.56465217384814,20.2174461003857,16.2706000154077,0.668711876547969,2.89571917059873,-248.238717954019,9
"7",7,0.239162166154418,3.47401625624751,19.6655938199083,16.678856956417,0.441256283622071,2.67414257770668,-248.646441032219,6
"8",8,0.340602433399256,2.63867442161629,21.5136140242512,14.2963205058737,0.976776945903742,3.54496661989611,-247.480467114239,7
"9",9,0.714020398604211,0.0238913537915517,22.6542884533626,16.4483604896492,0.684436311364244,3.93570632342839,-245.645875354365,6
"10",10,1.19102944777097,0.272410192523395,18.6135981165205,12.1489864787697,1.0173507122653,4.23839856964954,-245.875650404349,6
"11",11,0.605555528303147,0.985203141839096,18.2156858852465,12.1292982939309,1.22049776835635,3.37555704759124,-245.562464068352,5
"12",12,1.10736954569788,0.655605109978109,19.9632496040646,11.9578724256965,0.839690251154974,2.92573060925446,-244.42470914633,6
"13",13,0.902940834906277,0.843605408063786,23.7643139020872,14.6985926555064,0.820689143688641,2.19208079498721,-245.301697381584,6
"14",14,1.44178847196435,1.03335902764852,20.0916764485726,20.8904848124305,0.372218629168543,2.17386244943378,-248.259017383308,5
"15",15,0.946441784518215,1.03480188521794,21.3694967628533,16.7888980933869,1.04001720853589,2.10094730525449,-246.414133725503,9
"16",16,1.01499615538993,0.727850032331132,19.4795180364588,14.928279710487,0.325352044785914,1.65783708298137,-245.861890861381,5
"17",17,0.857655859364913,1.09054413680439,18.3401388299658,17.4638695580341,0.0767743235689163,1.56542266867916,-248.679102974032,6
"18",18,0.96142634969592,0.909154097127868,15.500144012925,10.167343302948,0.770958496935965,2.21829955147162,-246.107809766026,6
"19",19,1.19811435871657,0.865147131980687,19.2563683583408,17.9839497067421,0.320811063374557,2.37622430054885,-246.01906705729,6
"20",20,1.27459127712969,1.13406634728273,23.5755972142338,20.4357719847776,0.276460282663854,2.37766971577077,-248.47286968243,8
"21",21,0.810081592720271,0.46381294106793,15.0200105432428,18.8908761046376,0.35687074905769,2.56010827721589,-246.770379718273,4
