"offspring","genotype"
1,"aa"
2,"aa"
3,"Aa"
4,"AA"
5,"Aa"
6,"aa"
7,"aa"
8,"Aa"
9,"aa"
10,"AA"
11,"Aa"
12,"aa"
13,"Aa"
14,"aa"
15,"aa"
16,"Aa"
17,"Aa"
18,"aa"
19,"AA"
20,"aa"
21,"Aa"
22,"Aa"
23,"Aa"
24,"Aa"
25,"aa"
26,"AA"
27,"Aa"
28,"Aa"
29,"aa"
30,"Aa"
31,"Aa"
32,"AA"
33,"AA"
34,"aa"
35,"AA"
36,"Aa"
37,"Aa"
38,"AA"
39,"Aa"
40,"Aa"
41,"AA"
42,"AA"
43,"AA"
44,"Aa"
45,"aa"
46,"Aa"
47,"aa"
48,"Aa"
49,"AA"
50,"aa"
51,"AA"
52,"Aa"
53,"aa"
54,"Aa"
55,"aa"
56,"Aa"
57,"Aa"
58,"Aa"
59,"AA"
60,"Aa"
61,"Aa"
62,"Aa"
63,"Aa"
64,"Aa"
65,"Aa"
66,"Aa"
67,"Aa"
68,"AA"
69,"aa"
70,"AA"
71,"AA"
72,"Aa"
73,"AA"
74,"AA"
75,"aa"
76,"Aa"
77,"AA"
78,"Aa"
79,"Aa"
80,"AA"
81,"AA"
82,"Aa"
83,"Aa"
84,"Aa"
85,"Aa"
86,"Aa"
87,"Aa"
88,"Aa"
89,"Aa"
90,"Aa"
91,"aa"
92,"aa"
93,"Aa"
94,"Aa"
95,"Aa"
96,"aa"
97,"Aa"
98,"Aa"
99,"aa"
100,"aa"
101,"Aa"
102,"Aa"
103,"Aa"
104,"AA"
105,"aa"
106,"aa"
107,"AA"
108,"aa"
109,"Aa"
110,"aa"
111,"Aa"
112,"aa"
113,"Aa"
114,"AA"
115,"Aa"
116,"Aa"
117,"Aa"
118,"aa"
119,"Aa"
120,"aa"
121,"Aa"
122,"aa"
123,"aa"
124,"Aa"
125,"Aa"
126,"Aa"
127,"aa"
128,"Aa"
129,"AA"
130,"aa"
131,"aa"
132,"Aa"
133,"aa"
134,"Aa"
135,"aa"
136,"Aa"
137,"Aa"
138,"aa"
139,"aa"
140,"AA"
141,"Aa"
142,"AA"
143,"aa"
144,"aa"
145,"AA"
146,"Aa"
147,"aa"
148,"Aa"
149,"Aa"
150,"AA"
151,"Aa"
152,"Aa"
153,"aa"
154,"Aa"
155,"aa"
156,"Aa"
157,"Aa"
158,"Aa"
159,"Aa"
160,"aa"
161,"Aa"
162,"aa"
163,"aa"
164,"Aa"
165,"aa"
166,"aa"
167,"AA"
168,"Aa"
169,"Aa"
170,"AA"
171,"AA"
172,"aa"
173,"Aa"
174,"Aa"
175,"aa"
176,"Aa"
177,"AA"
178,"Aa"
179,"aa"
180,"Aa"
181,"Aa"
182,"Aa"
183,"Aa"
184,"Aa"
185,"Aa"
186,"Aa"
187,"Aa"
188,"Aa"
189,"Aa"
190,"aa"
191,"aa"
192,"Aa"
193,"AA"
194,"Aa"
195,"AA"
196,"AA"
197,"Aa"
198,"Aa"
199,"Aa"
200,"AA"
201,"Aa"
202,"Aa"
203,"Aa"
204,"Aa"
205,"aa"
206,"Aa"
207,"Aa"
208,"Aa"
209,"Aa"
210,"AA"
211,"Aa"
212,"AA"
213,"Aa"
214,"aa"
215,"aa"
216,"Aa"
217,"aa"
218,"Aa"
219,"aa"
220,"AA"
221,"AA"
222,"Aa"
223,"Aa"
224,"aa"
225,"Aa"
226,"Aa"
227,"aa"
228,"aa"
229,"aa"
230,"Aa"
231,"Aa"
232,"Aa"
233,"aa"
234,"aa"
235,"aa"
236,"Aa"
237,"Aa"
238,"AA"
239,"Aa"
240,"aa"
