"group","growth_mm"
"Control",7.97504548497602
"Control",4.89425790226894
"Control",9.02612575667418
"Control",8.05558482342149
"Control",5.14803845685443
"Control",10.5695660341044
"Control",6.08166916074031
"Control",8.41413082219644
"Control",8.00864228798499
"Control",7.3335314901863
"Control",10.1336370239075
"Control",9.29756935803937
"Control",10.2975803421318
"Control",5.78726229131641
"Control",9.53589801918489
"Control",8.95865839138914
"Control",8.98995524806938
"Control",10.0663968205227
"Control",4.58142409483051
"Control",9.04225355582555
"Control",5.04369319010545
"Control",9.08630507997008
"Control",10.4942928566472
"Control",5.60745050739091
"Control",6.22254963264785
"Warm",12.2519956673821
"Warm",9.09004441100878
"Warm",8.31915789713432
"Warm",9.80427852889862
"Warm",8.52700884308995
"Warm",6.9576768769232
"Warm",9.86288612772134
"Warm",9.95805633996883
"Warm",10.1892723918405
"Warm",5.03708163622322
"Warm",9.31393233886766
"Warm",8.34571685424778
"Warm",9.74783981745859
"Warm",4.93386466121303
"Warm",8.48845898713983
"Warm",9.19283795006796
"Warm",7.23413558316368
"Warm",7.22310118839376
"Warm",9.20183325407228
"Warm",5.64264692686908
"Warm",11.5511439251857
"Warm",8.31729926795423
"Warm",7.05973527820131
"Warm",9.56198903274928
"Warm",10.8592372535166
