"temperature","subject","oxygen"
15,1,8.10836399815
20,1,7.98710181120176
25,1,13.7872320434406
30,1,14.0568662705288
15,2,9.8833785773146
20,2,10.6153995228048
25,2,15.4439753081594
30,2,15.2874738017054
15,3,11.3964852855065
20,3,14.3597077571908
25,3,12.5543135320283
30,3,18.0433224398816
15,4,5.98621768537465
20,4,9.86076575021637
25,4,12.8061377342306
30,4,12.1649358474944
15,5,6.91026086204881
20,5,6.85748487029665
25,5,10.4820418827672
30,5,12.4088553185246
15,6,6.92837326640684
20,6,7.31143627001902
25,6,9.0786467025491
30,6,12.6366322935685
15,7,6.22348668292064
20,7,9.26313327569803
25,7,12.7926225980448
30,7,11.2999535726695
15,8,5.39164748099737
20,8,8.84126381705178
25,8,10.6869259493297
30,8,12.9598750698116
15,9,5.7854391286506
20,9,9.80883032016578
25,9,12.8283785053833
30,9,12.9622831539419
15,10,10.5207375932576
20,10,11.1496698757697
25,10,12.5668235216165
30,10,17.0710746501475
15,11,12.3027532226893
20,11,12.9081703605888
25,11,15.5577878135777
30,11,13.8745160070624
15,12,6.31073698570215
20,12,9.10284807559345
25,12,11.0071467229164
30,12,14.0894232800452
15,13,4.70899579148241
20,13,6.10059894204154
25,13,10.221325047078
30,13,10.6140079087354
15,14,8.53694646712474
20,14,10.7291754726311
25,14,10.374417943151
30,14,12.9241869011362
15,15,5.95263091483071
20,15,7.97529386539559
25,15,12.8691489023495
30,15,11.2811537427911
15,16,10.0850438494359
20,16,9.9972482326545
25,16,13.4922383728552
30,16,12.7629528379255
15,17,7.52698931752722
20,17,8.75186037727547
25,17,9.34726793504963
30,17,10.8555419318923
15,18,6.71605811183915
20,18,12.885570097244
25,18,15.8006130410478
30,18,12.9708227590587
15,19,8.13517738645587
20,19,12.9593774882852
25,19,12.5870856592579
30,19,16.6287278981455
15,20,5.77257790842938
20,20,8.05287475328573
25,20,10.011285960856
30,20,12.3372417705595
15,21,4.91360980828925
20,21,7.9119767973986
25,21,9.02369038026773
30,21,11.0539184432222
15,22,9.11904699873152
20,22,10.6649145685224
25,22,13.6523116388444
30,22,12.3654566217029
15,23,5.91547807054223
20,23,7.75158711583784
25,23,10.515365060035
30,23,12.3673076664342
15,24,10.982244859159
20,24,8.63262301550582
25,24,14.003722520617
30,24,17.4291968973254
