horn.length,line
1.65,large
1.39,large
1.03,large
1.32,large
1.48,large
1.06,large
1.63,large
1.32,large
1.29,large
1.51,large
1.57,large
1.16,large
1.14,large
1.31,large
1.2,large
1.19,large
1.11,large
1.12,large
1.1,large
1.12,large
1.16,large
1.36,large
1.37,large
1.25,large
1.27,large
1.48,control
1.22,control
1.2,control
1.83,control
0.69,control
0.97,control
1.1,control
0.84,control
0.71,control
1.24,control
0.61,control
1.26,control
1.61,control
1.69,control
1.15,control
1.36,control
0.5,control
1.28,control
1.3,control
1.28,control
1.04,control
0.72,control
0.64,control
1.1,control
1.01,control
