"cross","mean","SE","sex","environ","sire","dam"
"p1",0.407307194616977,0.103874278084498,"U",1,1,1
"p2",0,1e-05,"U",1,2,2
"f1",0.291269841269841,0.0885729931021859,"U",1,2,1
"rf1",0.475466398680684,0.0449532704318016,"U",1,1,2
"f2a",0.384248166203053,0.0420426878786176,"U",1,3,3
"rf2b",0.3723016479319,0.079133582947525,"U",1,3,4
"f2b",0.495506535947712,0.111227237710606,"U",1,4,3
"bc1a",0.399489795918367,0.0498701593638661,"U",1,3,1
"bc1b",0.371180138722156,0.0769537836180048,"U",1,4,1
"rbc1a",0.443551130129471,0.115808263109785,"U",1,1,3
"rbc1b",0.621821587660097,0.044392891947161,"U",1,1,4
"rbc2a",0.326067675874177,0.0413530832470571,"U",1,3,2
"rbc2b",0.428865785514722,0.0610027412515715,"U",1,4,2
"bc2a",0.469249830992074,0.0267644708436911,"U",1,2,3
"bc2b",0.443831209841062,0.0450930464126704,"U",1,2,4
