cross,mean,SE,sex,environ,sire,dam
P1,37.88888889,44.89469862,U,1,1,1
P2,91.6,36.17666667,U,1,2,2
F1,56.16,21.4456,U,1,2,1
rF1,62.91666667,89.70259662,U,1,1,2
F2a,32.08333333,20.97664141,U,1,3,3
rF2b,31.91666667,26.53724747,U,1,3,4
F2b,21.66666667,9.898989899,U,1,4,3
F2c,33.08333333,17.23421717,U,1,4,4
BC1a,40.75,6.409868421,U,1,3,1
BC1b,22.95238095,9.740362812,U,1,4,1
rBC1a,44.47368421,21.66882118,U,1,1,3
rBC1b,39,11.93809524,U,1,1,4
rBC2a,34.71428571,21.48163265,U,1,3,2
rBC2b,26.71428571,18.54829932,U,1,4,2
BC2a,13.25,6.199342105,U,1,2,3
BC2b,21,9.647368421,U,1,2,4
