cross,mean,SE,sex,environ,sire,dam
P1,27.14286,7.265144,U,1,1,1
P2,9.28571,3.076132,U,1,2,2
F1,13,1.825742,U,1,2,1
rF1,44.57143,9.795181,U,1,1,2
F2a,21.57143,4.433945,U,1,3,3
rF2b,24.28571,5.441088,U,1,3,4
F2b,25.71429,5.902841,U,1,4,3
F2c,14.42857,4.25305,U,1,4,4
BC1a,14,1.496026,U,1,3,1
BC1b,14,3.323796,U,1,4,1
rBC1a,23.71429,6.40578,U,1,1,3
rBC1b,30.57143,9.431096,U,1,1,4
rBC2a,45,7.699722,U,1,3,2
rBC2b,39.33333,8.093893,U,1,4,2
BC2a,30.57143,6.376509,U,1,2,3
BC2b,30.66667,9.149378,U,1,2,4
