cross,mean,SE,sex,environ,sire,dam
P1,53.76470588,45.92301038,U,1,1,1
P2,62.04347826,8.393194707,U,1,2,2
F1,60.16,30.3356,U,1,2,1
rF1,67.41666667,17.59752415,U,1,1,2
F2a,20.08333333,24.90088384,U,1,3,3
rF2b,14.66666667,14.8989899,U,1,3,4
F2b,28.41666667,11.09785354,U,1,4,3
F2c,42.25,22.94128788,U,1,4,4
BC1a,28.45454545,16.78669815,U,1,3,1
BC1b,20.5,10.73947368,U,1,4,1
rBC1a,40.9047619,23.60907029,U,1,1,3
rBC1b,57.57142857,26.43605442,U,1,1,4
rBC2a,9.476190476,5.62675737,U,1,3,2
rBC2b,26.38095238,10.71179138,U,1,4,2
BC2a,6.333333333,3.120634921,U,1,2,3
BC2b,17.61904762,7.121315193,U,1,2,4
