cross,mean,SE,sex,environ,sire,dam
P1,37.88889,44.894699,U,1,1,1
P2,59.16,46.7056,U,1,2,2
F1,57.44,31.386933,U,1,2,1
rF1,77.72727,22.451004,U,1,1,2
F2a,27.5,21.371212,U,1,3,3
rF2b,28.66667,8.762626,U,1,3,4
F2b,33.83333,10.467172,U,1,4,3
F2c,24.75,13.926136,U,1,4,4
BC1a,31,11.719048,U,1,3,1
BC1b,39.14286,7.068027,U,1,4,1
rBC1a,12.52381,2.0839,U,1,1,3
rBC1b,13.04762,4.573696,U,1,1,4
rBC2a,21.90476,15.875737,U,1,3,2
rBC2b,30.57143,9.45034,U,1,4,2
BC2a,20.7619,10.794785,U,1,2,3
BC2b,24.09524,7.428118,U,1,2,4
