cross,mean,SE,sex,environ,sire,dam
P1,17.28571,5.290217,U,1,1,1
P2,32.375,5.824632,U,1,2,2
F1,38.71429,7.183693,U,1,2,1
rF1,35.66667,3.835507,U,1,1,2
F2a,42.6,8.840814,U,1,3,3
rF2b,25.66667,6.349103,U,1,3,4
F2b,45.83333,5.134307,U,1,4,3
F2c,23.875,5.546677,U,1,4,4
BC1a,48.16667,7.372999,U,1,3,1
BC1b,33.625,4.083667,U,1,4,1
rBC1a,28.14286,6.246632,U,1,1,3
rBC1b,25.75,6.554034,U,1,1,4
rBC2a,27.2,4.487761,U,1,3,2
rBC2b,24.16667,1.833333,U,1,4,2
BC2a,39.2,8.499412,U,1,2,3
BC2b,42.6,5.537147,U,1,2,4
