"cross","mean","SE","sex","environ","sire","dam"
"p1",0.412418456791858,0.122334300651324,"U",1,1,1
"p2",0.135755813953488,0.0143276259259675,"U",1,2,2
"f1",0.645975988849352,0.0557163338291069,"U",1,2,1
"rf1",0.648015873015873,0.0663019122093038,"U",1,1,2
"f2a",0.763895685137192,0.0328257899689333,"U",1,3,3
"rf2b",0.696011371055599,0.0498746518114565,"U",1,3,4
"f2b",0.656952174809318,0.0487323150825746,"U",1,4,3
"bc1a",0.77127909806863,0.0697192668010684,"U",1,3,1
"bc1b",0.843212534591845,0.0674360332816775,"U",1,4,1
"rbc1a",0.678987235775168,0.0496602614822151,"U",1,1,3
"rbc1b",0.782975033541391,0.0410417176454734,"U",1,1,4
"rbc2a",0.86604124408384,0.0432804866295898,"U",1,3,2
"rbc2b",0.72382703651679,0.0489891478407631,"U",1,4,2
"bc2a",0.686357857594417,0.0210225898927369,"U",1,2,3
"bc2b",0.701283574502294,0.0604278616880936,"U",1,2,4
